Departure,Average,Ratio,Class
5:00AM,63,0.984375,1
5:15AM,64,1.0,1
5:30AM,63,0.984375,1
5:45AM,63,0.984375,1
6:00AM,62,0.96875,1
6:15AM,61,0.953125,1
6:30AM,61,0.953125,1
6:45AM,61,0.953125,1
7:00AM,60,0.9375,1
7:15AM,59,0.921875,1
7:30AM,56,0.875,1
7:45AM,54,0.84375,1
8:00AM,55,0.859375,1
8:15AM,58,0.90625,1
8:30AM,58,0.90625,1
8:45AM,60,0.9375,1
9:00AM,60,0.9375,1
9:15AM,61,0.953125,1
9:30AM,62,0.96875,1
9:45AM,61,0.953125,1
10:00AM,61,0.953125,1
10:15AM,61,0.953125,1
10:30AM,61,0.953125,1
10:45AM,62,0.96875,1
11:00AM,62,0.96875,1
11:15AM,61,0.953125,1
11:30AM,62,0.96875,1
11:45AM,62,0.96875,1
12:00PM,62,0.96875,1
12:15PM,62,0.96875,1
12:30PM,62,0.96875,1
12:45PM,62,0.96875,1
1:00PM,62,0.96875,1
1:15PM,62,0.96875,1
1:30PM,62,0.96875,1
1:45PM,62,0.96875,1
2:00PM,62,0.96875,1
2:15PM,62,0.96875,1
2:30PM,62,0.96875,1
2:45PM,62,0.96875,1
3:00PM,61,0.953125,1
3:15PM,61,0.953125,1
3:30PM,60,0.9375,1
3:45PM,58,0.90625,1
4:00PM,56,0.875,1
4:15PM,54,0.84375,1
4:30PM,51,0.796875,1
4:45PM,51,0.796875,1
5:00PM,50,0.78125,1
5:15PM,48,0.75,1.33
5:30PM,47,0.734375,1.33
5:45PM,48,0.75,1.33
6:00PM,51,0.796875,1
6:15PM,54,0.84375,1
6:30PM,56,0.875,1
6:45PM,59,0.921875,1
