Departure,Average,Ratio,Class
5:00AM,67,1.0,1
5:15AM,66,0.9850746268656716,1
5:30AM,65,0.9701492537313433,1
5:45AM,63,0.9402985074626866,1
6:00AM,57,0.8507462686567164,1
6:15AM,46,0.6865671641791045,1.33
6:30AM,40,0.5970149253731343,1.33
6:45AM,36,0.5373134328358209,1.33
7:00AM,33,0.4925373134328358,2
7:15AM,29,0.43283582089552236,2
7:30AM,27,0.40298507462686567,2
7:45AM,28,0.417910447761194,2
8:00AM,31,0.4626865671641791,2
8:15AM,32,0.47761194029850745,2
8:30AM,36,0.5373134328358209,1.33
8:45AM,39,0.582089552238806,1.33
9:00AM,42,0.6268656716417911,1.33
9:15AM,48,0.7164179104477612,1.33
9:30AM,47,0.7014925373134329,1.33
9:45AM,49,0.7313432835820896,1.33
10:00AM,50,0.746268656716418,1.33
10:15AM,48,0.7164179104477612,1.33
10:30AM,53,0.7910447761194029,1
10:45AM,47,0.7014925373134329,1.33
11:00AM,50,0.746268656716418,1.33
11:15AM,43,0.6417910447761194,1.33
11:30AM,44,0.6567164179104478,1.33
11:45AM,42,0.6268656716417911,1.33
12:00PM,43,0.6417910447761194,1.33
12:15PM,47,0.7014925373134329,1.33
12:30PM,46,0.6865671641791045,1.33
12:45PM,49,0.7313432835820896,1.33
1:00PM,46,0.6865671641791045,1.33
1:15PM,48,0.7164179104477612,1.33
1:30PM,48,0.7164179104477612,1.33
1:45PM,47,0.7014925373134329,1.33
2:00PM,49,0.7313432835820896,1.33
2:15PM,52,0.7761194029850746,1
2:30PM,51,0.7611940298507462,1
2:45PM,51,0.7611940298507462,1
3:00PM,54,0.8059701492537313,1
3:15PM,54,0.8059701492537313,1
3:30PM,55,0.8208955223880597,1
3:45PM,55,0.8208955223880597,1
4:00PM,57,0.8507462686567164,1
4:15PM,56,0.835820895522388,1
4:30PM,51,0.7611940298507462,1
4:45PM,52,0.7761194029850746,1
5:00PM,51,0.7611940298507462,1
5:15PM,48,0.7164179104477612,1.33
5:30PM,49,0.7313432835820896,1.33
5:45PM,48,0.7164179104477612,1.33
6:00PM,49,0.7313432835820896,1.33
6:15PM,50,0.746268656716418,1.33
6:30PM,53,0.7910447761194029,1
6:45PM,56,0.835820895522388,1
