Departure,Average,Ratio,Class
5:00AM,69,0.9583333333333334,1
5:15AM,72,1.0,1
5:30AM,72,1.0,1
5:45AM,72,1.0,1
6:00AM,72,1.0,1
6:15AM,69,0.9583333333333334,1
6:30AM,68,0.9444444444444444,1
6:45AM,64,0.8888888888888888,1
7:00AM,63,0.875,1
7:15AM,61,0.8472222222222222,1
7:30AM,53,0.7361111111111112,1.33
7:45AM,50,0.6944444444444444,1.33
8:00AM,58,0.8055555555555556,1
8:15AM,64,0.8888888888888888,1
8:30AM,62,0.8611111111111112,1
8:45AM,63,0.875,1
9:00AM,66,0.9166666666666666,1
9:15AM,66,0.9166666666666666,1
9:30AM,64,0.8888888888888888,1
9:45AM,64,0.8888888888888888,1
10:00AM,67,0.9305555555555556,1
10:15AM,66,0.9166666666666666,1
10:30AM,65,0.9027777777777778,1
10:45AM,66,0.9166666666666666,1
11:00AM,66,0.9166666666666666,1
11:15AM,66,0.9166666666666666,1
11:30AM,64,0.8888888888888888,1
11:45AM,64,0.8888888888888888,1
12:00PM,63,0.875,1
12:15PM,65,0.9027777777777778,1
12:30PM,61,0.8472222222222222,1
12:45PM,62,0.8611111111111112,1
1:00PM,58,0.8055555555555556,1
1:15PM,61,0.8472222222222222,1
1:30PM,59,0.8194444444444444,1
1:45PM,65,0.9027777777777778,1
2:00PM,60,0.8333333333333334,1
2:15PM,61,0.8472222222222222,1
2:30PM,63,0.875,1
2:45PM,61,0.8472222222222222,1
3:00PM,62,0.8611111111111112,1
3:15PM,61,0.8472222222222222,1
3:30PM,60,0.8333333333333334,1
3:45PM,61,0.8472222222222222,1
4:00PM,60,0.8333333333333334,1
4:15PM,59,0.8194444444444444,1
4:30PM,57,0.7916666666666666,1
4:45PM,54,0.75,1.33
5:00PM,50,0.6944444444444444,1.33
5:15PM,48,0.6666666666666666,1.33
5:30PM,45,0.625,1.33
5:45PM,41,0.5694444444444444,1.33
6:00PM,42,0.5833333333333334,1.33
6:15PM,43,0.5972222222222222,1.33
6:30PM,45,0.625,1.33
6:45PM,53,0.7361111111111112,1.33
