Departure,Average,Ratio,Class
5:00AM,67,1.0,1
5:15AM,66,0.9850746268656716,1
5:30AM,64,0.9552238805970149,1
5:45AM,62,0.9253731343283582,1
6:00AM,59,0.8805970149253731,1
6:15AM,56,0.835820895522388,1
6:30AM,54,0.8059701492537313,1
6:45AM,54,0.8059701492537313,1
7:00AM,55,0.8208955223880597,1
7:15AM,56,0.835820895522388,1
7:30AM,55,0.8208955223880597,1
7:45AM,53,0.7910447761194029,1
8:00AM,52,0.7761194029850746,1
8:15AM,48,0.7164179104477612,1.33
8:30AM,47,0.7014925373134329,1.33
8:45AM,49,0.7313432835820896,1.33
9:00AM,50,0.746268656716418,1.33
9:15AM,48,0.7164179104477612,1.33
9:30AM,49,0.7313432835820896,1.33
9:45AM,50,0.746268656716418,1.33
10:00AM,54,0.8059701492537313,1
10:15AM,52,0.7761194029850746,1
10:30AM,53,0.7910447761194029,1
10:45AM,55,0.8208955223880597,1
11:00AM,55,0.8208955223880597,1
11:15AM,54,0.8059701492537313,1
11:30AM,55,0.8208955223880597,1
11:45AM,54,0.8059701492537313,1
12:00PM,56,0.835820895522388,1
12:15PM,56,0.835820895522388,1
12:30PM,56,0.835820895522388,1
12:45PM,57,0.8507462686567164,1
1:00PM,58,0.8656716417910447,1
1:15PM,57,0.8507462686567164,1
1:30PM,58,0.8656716417910447,1
1:45PM,58,0.8656716417910447,1
2:00PM,57,0.8507462686567164,1
2:15PM,57,0.8507462686567164,1
2:30PM,57,0.8507462686567164,1
2:45PM,57,0.8507462686567164,1
3:00PM,56,0.835820895522388,1
3:15PM,54,0.8059701492537313,1
3:30PM,52,0.7761194029850746,1
3:45PM,48,0.7164179104477612,1.33
4:00PM,45,0.6716417910447762,1.33
4:15PM,40,0.5970149253731343,1.33
4:30PM,39,0.582089552238806,1.33
4:45PM,37,0.5522388059701493,1.33
5:00PM,37,0.5522388059701493,1.33
5:15PM,35,0.5223880597014925,1.33
5:30PM,35,0.5223880597014925,1.33
5:45PM,38,0.5671641791044776,1.33
6:00PM,42,0.6268656716417911,1.33
6:15PM,45,0.6716417910447762,1.33
6:30PM,47,0.7014925373134329,1.33
6:45PM,50,0.746268656716418,1.33
