Departure,Average,Ratio,Class
5:00AM,56,1.0,1
5:15AM,56,1.0,1
5:30AM,56,1.0,1
5:45AM,55,0.9821428571428571,1
6:00AM,52,0.9285714285714286,1
6:15AM,52,0.9285714285714286,1
6:30AM,54,0.9642857142857143,1
6:45AM,53,0.9464285714285714,1
7:00AM,52,0.9285714285714286,1
7:15AM,51,0.9107142857142857,1
7:30AM,49,0.875,1
7:45AM,46,0.8214285714285714,1
8:00AM,40,0.7142857142857143,1.33
8:15AM,42,0.75,1.33
8:30AM,39,0.6964285714285714,1.33
8:45AM,41,0.7321428571428571,1.33
9:00AM,42,0.75,1.33
9:15AM,43,0.7678571428571429,1
9:30AM,43,0.7678571428571429,1
9:45AM,44,0.7857142857142857,1
10:00AM,46,0.8214285714285714,1
10:15AM,45,0.8035714285714286,1
10:30AM,48,0.8571428571428571,1
10:45AM,46,0.8214285714285714,1
11:00AM,49,0.875,1
11:15AM,46,0.8214285714285714,1
11:30AM,44,0.7857142857142857,1
11:45AM,46,0.8214285714285714,1
12:00PM,45,0.8035714285714286,1
12:15PM,45,0.8035714285714286,1
12:30PM,44,0.7857142857142857,1
12:45PM,43,0.7678571428571429,1
1:00PM,42,0.75,1.33
1:15PM,42,0.75,1.33
1:30PM,40,0.7142857142857143,1.33
1:45PM,40,0.7142857142857143,1.33
2:00PM,42,0.75,1.33
2:15PM,39,0.6964285714285714,1.33
2:30PM,36,0.6428571428571429,1.33
2:45PM,36,0.6428571428571429,1.33
3:00PM,34,0.6071428571428571,1.33
3:15PM,30,0.5357142857142857,1.33
3:30PM,29,0.5178571428571429,1.33
3:45PM,26,0.4642857142857143,2
4:00PM,26,0.4642857142857143,2
4:15PM,24,0.42857142857142855,2
4:30PM,21,0.375,2
4:45PM,20,0.35714285714285715,2
5:00PM,21,0.375,2
5:15PM,20,0.35714285714285715,2
5:30PM,19,0.3392857142857143,2
5:45PM,19,0.3392857142857143,2
6:00PM,20,0.35714285714285715,2
6:15PM,23,0.4107142857142857,2
6:30PM,25,0.44642857142857145,2
6:45PM,28,0.5,2
