Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,24:25:00,66,
5:15 AM-5:30 AM,24:33:00,66,
5:30 AM-5:45 AM,24:58:00,65,
5:45 AM-6:00 AM,25:58:00,62,
6:00 AM-6:15 AM,27:08:00,59,
6:15 AM-6:30 AM,28:36:00,56,
6:30 AM-6:45 AM,31:03:00,52,
6:45 AM-7:00 AM,32:19:00,50,
7:00 AM-7:15 AM,32:10:00,50,
7:15 AM-7:30 AM,32:05:00,50,
7:30 AM-7:45 AM,33:02:00,49,
7:45 AM-8:00 AM,33:43:00,48,
8:00 AM-8:15 AM,32:35:00,50,
8:15 AM-8:30 AM,29:49:00,54,
8:30 AM-8:45 AM,27:47:00,58,
8:45 AM-9:00 AM,26:57:00,60,
9:00 AM-9:15 AM,26:29:00,61,
9:15 AM-9:30 AM,26:11:00,62,
9:30 AM-9:45 AM,26:15:00,61,
9:45 AM-10:00 AM,26:20:00,61,
10:00 AM-10:15 AM,26:31:00,61,
10:15 AM-10:30 AM,26:28:00,61,
10:30 AM-10:45 AM,26:25:00,61,
10:45 AM-11:00 AM,26:13:00,62,
11:00 AM-11:15 AM,26:13:00,62,
11:15 AM-11:30 AM,26:03:00,62,
11:30 AM-11:45 AM,26:07:00,62,
11:45 AM-12:00 PM,26:02:00,62,
12:00 PM-12:15 PM,26:09:00,62,
12:15 PM-12:30 PM,26:12:00,62,
12:30 PM-12:45 PM,26:00:00,62,
12:45 PM-1:00 PM,25:50:00,62,
1:00 PM-1:15 PM,25:54:00,62,
1:15 PM-1:30 PM,25:47:00,63,
1:30 PM-1:45 PM,25:46:00,63,
1:45 PM-2:00 PM,26:04:00,62,
2:00 PM-2:15 PM,26:25:00,61,
2:15 PM-2:30 PM,26:02:00,62,
2:30 PM-2:45 PM,25:39:00,63,
2:45 PM-3:00 PM,25:39:00,63,
3:00 PM-3:15 PM,25:48:00,63,
3:15 PM-3:30 PM,26:16:00,61,
3:30 PM-3:45 PM,26:06:00,62,
3:45 PM-4:00 PM,26:23:00,61,
4:00 PM-4:15 PM,26:24:00,61,
4:15 PM-4:30 PM,28:09:00,57,
4:30 PM-4:45 PM,30:19:00,53,
4:45 PM-5:00 PM,32:28:00,50,
5:00 PM-5:15 PM,33:14:00,49,
5:15 PM-5:30 PM,35:25:00,46,
5:30 PM-5:45 PM,35:37:00,45,
5:45 PM-6:00 PM,33:36:00,48,
6:00 PM-6:15 PM,31:45:00,51,
6:15 PM-6:30 PM,28:11:00,57,
6:30 PM-6:45 PM,26:27:00,61,
6:45 PM-7:00 PM,26:03:00,62,
