Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,16:35,65,
5:15 AM-5:30 AM,16:44,64,
5:30 AM-5:45 AM,17:07,63,
5:45 AM-6:00 AM,16:41,64,
6:00 AM-6:15 AM,16:43,64,
6:15 AM-6:30 AM,17:18,62,
6:30 AM-6:45 AM,18:23,58,
6:45 AM-7:00 AM,19:48,54,
7:00 AM-7:15 AM,20:18,53,
7:15 AM-7:30 AM,21:13,51,
7:30 AM-7:45 AM,23:03,47,
7:45 AM-8:00 AM,24:25:00,44,
8:00 AM-8:15 AM,23:27,46,
8:15 AM-8:30 AM,22:07,49,
8:30 AM-8:45 AM,20:52,51,
8:45 AM-9:00 AM,19:28,55,
9:00 AM-9:15 AM,18:23,58,
9:15 AM-9:30 AM,18:03,60,
9:30 AM-9:45 AM,17:40,61,
9:45 AM-10:00 AM,17:25,62,
10:00 AM-10:15 AM,17:11,63,
10:15 AM-10:30 AM,17:19,62,
10:30 AM-10:45 AM,17:18,62,
10:45 AM-11:00 AM,17:21,62,
11:00 AM-11:15 AM,17:37,61,
11:15 AM-11:30 AM,17:23,62,
11:30 AM-11:45 AM,17:24,62,
11:45 AM-12:00 PM,17:21,62,
12:00 PM-12:15 PM,17:25,62,
12:15 PM-12:30 PM,17:18,62,
12:30 PM-12:45 PM,17:12,62,
12:45 PM-1:00 PM,17:14,62,
1:00 PM-1:15 PM,17:31,61,
1:15 PM-1:30 PM,17:30,61,
1:30 PM-1:45 PM,17:37,61,
1:45 PM-2:00 PM,17:42,61,
2:00 PM-2:15 PM,17:45,61,
2:15 PM-2:30 PM,17:45,61,
2:30 PM-2:45 PM,17:39,61,
2:45 PM-3:00 PM,17:50,60,
3:00 PM-3:15 PM,18:03,60,
3:15 PM-3:30 PM,18:29,58,
3:30 PM-3:45 PM,19:33,55,
3:45 PM-4:00 PM,20:31,52,
4:00 PM-4:15 PM,20:45,52,
4:15 PM-4:30 PM,21:47,49,
4:30 PM-4:45 PM,22:09,48,
4:45 PM-5:00 PM,22:43,47,
5:00 PM-5:15 PM,22:49,47,
5:15 PM-5:30 PM,24:55:00,43,
5:30 PM-5:45 PM,25:01:00,43,
5:45 PM-6:00 PM,23:59,45,
6:00 PM-6:15 PM,22:28,48,
6:15 PM-6:30 PM,21:58,49,
6:30 PM-6:45 PM,20:38,52,
6:45 PM-7:00 PM,19:38,55,
