Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,16:17,66,
5:15 AM-5:30 AM,16:03,67,
5:30 AM-5:45 AM,15:56,67,
5:45 AM-6:00 AM,16:19,65,
6:00 AM-6:15 AM,16:21,65,
6:15 AM-6:30 AM,16:45,64,
6:30 AM-6:45 AM,17:58,59,
6:45 AM-7:00 AM,20:02,53,
7:00 AM-7:15 AM,20:46,51,
7:15 AM-7:30 AM,23:14,46,
7:30 AM-7:45 AM,26:18:00,41,
7:45 AM-8:00 AM,29:02:00,37,
8:00 AM-8:15 AM,28:55:00,37,
8:15 AM-8:30 AM,28:46:00,37,
8:30 AM-8:45 AM,28:49:00,37,
8:45 AM-9:00 AM,28:13:00,38,
9:00 AM-9:15 AM,25:29:00,42,
9:15 AM-9:30 AM,22:28,48,
9:30 AM-9:45 AM,20:14,53,
9:45 AM-10:00 AM,18:28,58,
10:00 AM-10:15 AM,17:22,61,
10:15 AM-10:30 AM,16:59,63,
10:30 AM-10:45 AM,16:57,63,
10:45 AM-11:00 AM,16:50,63,
11:00 AM-11:15 AM,16:47,64,
11:15 AM-11:30 AM,16:53,63,
11:30 AM-11:45 AM,16:58,63,
11:45 AM-12:00 PM,16:57,63,
12:00 PM-12:15 PM,16:53,63,
12:15 PM-12:30 PM,17:06,62,
12:30 PM-12:45 PM,17:09,62,
12:45 PM-1:00 PM,17:08,62,
1:00 PM-1:15 PM,17:03,63,
1:15 PM-1:30 PM,17:04,63,
1:30 PM-1:45 PM,17:03,63,
1:45 PM-2:00 PM,17:01,63,
2:00 PM-2:15 PM,17:02,63,
2:15 PM-2:30 PM,17:16,62,
2:30 PM-2:45 PM,17:13,62,
2:45 PM-3:00 PM,17:40,60,
3:00 PM-3:15 PM,17:57,59,
3:15 PM-3:30 PM,18:46,57,
3:30 PM-3:45 PM,19:55,54,
3:45 PM-4:00 PM,21:31,50,
4:00 PM-4:15 PM,23:17,46,
4:15 PM-4:30 PM,27:28:00,39,
4:30 PM-4:45 PM,31:04:00,34,
4:45 PM-5:00 PM,33:40:00,32,
5:00 PM-5:15 PM,34:17:00,31,
5:15 PM-5:30 PM,37:14:00,29,
5:30 PM-5:45 PM,38:20:00,28,
5:45 PM-6:00 PM,36:40:00,29,
6:00 PM-6:15 PM,32:46:00,33,
6:15 PM-6:30 PM,28:35:00,37,
6:30 PM-6:45 PM,24:38:00,43,
6:45 PM-7:00 PM,20:41,52,
