Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,18:02,64,
5:15 AM-5:30 AM,18:03,64,
5:30 AM-5:45 AM,18:11,63,
5:45 AM-6:00 AM,17:51,65,
6:00 AM-6:15 AM,17:27,66,
6:15 AM-6:30 AM,17:22,66,
6:30 AM-6:45 AM,17:25,66,
6:45 AM-7:00 AM,17:20,66,
7:00 AM-7:15 AM,17:10,67,
7:15 AM-7:30 AM,17:06,67,
7:30 AM-7:45 AM,17:03,68,
7:45 AM-8:00 AM,17:01,68,
8:00 AM-8:15 AM,17:07,67,
8:15 AM-8:30 AM,17:08,67,
8:30 AM-8:45 AM,17:17,67,
8:45 AM-9:00 AM,17:28,66,
9:00 AM-9:15 AM,17:34,66,
9:15 AM-9:30 AM,17:37,65,
9:30 AM-9:45 AM,17:39,65,
9:45 AM-10:00 AM,17:39,65,
10:00 AM-10:15 AM,17:46,65,
10:15 AM-10:30 AM,17:43,65,
10:30 AM-10:45 AM,17:43,65,
10:45 AM-11:00 AM,17:41,65,
11:00 AM-11:15 AM,17:44,65,
11:15 AM-11:30 AM,17:40,65,
11:30 AM-11:45 AM,17:37,65,
11:45 AM-12:00 PM,17:36,65,
12:00 PM-12:15 PM,17:37,65,
12:15 PM-12:30 PM,17:33,66,
12:30 PM-12:45 PM,17:30,66,
12:45 PM-1:00 PM,17:28,66,
1:00 PM-1:15 PM,17:30,66,
1:15 PM-1:30 PM,17:31,66,
1:30 PM-1:45 PM,17:26,66,
1:45 PM-2:00 PM,17:20,66,
2:00 PM-2:15 PM,17:15,67,
2:15 PM-2:30 PM,17:20,66,
2:30 PM-2:45 PM,17:14,67,
2:45 PM-3:00 PM,17:17,67,
3:00 PM-3:15 PM,17:10,67,
3:15 PM-3:30 PM,17:08,67,
3:30 PM-3:45 PM,17:10,67,
3:45 PM-4:00 PM,17:20,66,
4:00 PM-4:15 PM,17:25,66,
4:15 PM-4:30 PM,17:40,65,
4:30 PM-4:45 PM,17:50,65,
4:45 PM-5:00 PM,18:12,63,
5:00 PM-5:15 PM,18:51,61,
5:15 PM-5:30 PM,19:42,58,
5:30 PM-5:45 PM,19:49,58,
5:45 PM-6:00 PM,19:28,59,
6:00 PM-6:15 PM,18:35,62,
6:15 PM-6:30 PM,17:58,64,
6:30 PM-6:45 PM,17:33,66,
6:45 PM-7:00 PM,17:18,67,
