Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,13:31,81,
5:15 AM-5:30 AM,13:25,81,
5:30 AM-5:45 AM,13:35,80,
5:45 AM-6:00 AM,13:54,79,
6:00 AM-6:15 AM,14:22,76,
6:15 AM-6:30 AM,17:21,63,
6:30 AM-6:45 AM,21:05,52,
6:45 AM-7:00 AM,23:00,47,
7:00 AM-7:15 AM,24:09:00,45,
7:15 AM-7:30 AM,26:12:00,42,
7:30 AM-7:45 AM,27:32:00,40,
7:45 AM-8:00 AM,28:37:00,38,
8:00 AM-8:15 AM,26:03:00,42,
8:15 AM-8:30 AM,24:31:00,45,
8:30 AM-8:45 AM,24:27:00,45,
8:45 AM-9:00 AM,23:19,47,
9:00 AM-9:15 AM,20:33,53,
9:15 AM-9:30 AM,18:33,59,
9:30 AM-9:45 AM,16:58,64,
9:45 AM-10:00 AM,16:00,68,
10:00 AM-10:15 AM,14:44,74,
10:15 AM-10:30 AM,14:29,75,
10:30 AM-10:45 AM,14:30,75,
10:45 AM-11:00 AM,14:33,75,
11:00 AM-11:15 AM,14:38,75,
11:15 AM-11:30 AM,15:00,73,
11:30 AM-11:45 AM,14:48,74,
11:45 AM-12:00 PM,14:36,75,
12:00 PM-12:15 PM,14:35,75,
12:15 PM-12:30 PM,14:40,74,
12:30 PM-12:45 PM,14:30,75,
12:45 PM-1:00 PM,14:30,75,
1:00 PM-1:15 PM,14:31,75,
1:15 PM-1:30 PM,14:39,75,
1:30 PM-1:45 PM,14:57,73,
1:45 PM-2:00 PM,15:09,72,
2:00 PM-2:15 PM,15:16,72,
2:15 PM-2:30 PM,15:24,71,
2:30 PM-2:45 PM,15:56,69,
2:45 PM-3:00 PM,16:25,67,
3:00 PM-3:15 PM,16:23,67,
3:15 PM-3:30 PM,16:49,65,
3:30 PM-3:45 PM,17:22,63,
3:45 PM-4:00 PM,18:06,60,
4:00 PM-4:15 PM,18:18,60,
4:15 PM-4:30 PM,19:27,56,
4:30 PM-4:45 PM,20:21,54,
4:45 PM-5:00 PM,21:01,52,
5:00 PM-5:15 PM,21:43,50,
5:15 PM-5:30 PM,22:42,48,
5:30 PM-5:45 PM,22:16,49,
5:45 PM-6:00 PM,21:20,51,
6:00 PM-6:15 PM,20:10,54,
6:15 PM-6:30 PM,18:52,58,
6:30 PM-6:45 PM,18:08,60,
6:45 PM-7:00 PM,17:00,64,
