Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,11:27,66,
5:15 AM-5:30 AM,11:35,65,
5:30 AM-5:45 AM,11:45,64,
5:45 AM-6:00 AM,12:04,62,
6:00 AM-6:15 AM,12:38,59,
6:15 AM-6:30 AM,13:28,56,
6:30 AM-6:45 AM,15:05,50,
6:45 AM-7:00 AM,16:54,44,
7:00 AM-7:15 AM,18:21,41,
7:15 AM-7:30 AM,21:40,35,
7:30 AM-7:45 AM,25:13:00,30,
7:45 AM-8:00 AM,26:36:00,28,
8:00 AM-8:15 AM,26:39:00,28,
8:15 AM-8:30 AM,27:05:00,28,
8:30 AM-8:45 AM,25:59:00,29,
8:45 AM-9:00 AM,23:13,32,
9:00 AM-9:15 AM,20:26,37,
9:15 AM-9:30 AM,18:49,40,
9:30 AM-9:45 AM,17:43,42,
9:45 AM-10:00 AM,16:49,45,
10:00 AM-10:15 AM,15:04,50,
10:15 AM-10:30 AM,14:18,52,
10:30 AM-10:45 AM,13:36,55,
10:45 AM-11:00 AM,13:34,55,
11:00 AM-11:15 AM,13:21,56,
11:15 AM-11:30 AM,13:17,56,
11:30 AM-11:45 AM,13:37,55,
11:45 AM-12:00 PM,13:45,55,
12:00 PM-12:15 PM,13:50,54,
12:15 PM-12:30 PM,13:42,55,
12:30 PM-12:45 PM,14:07,53,
12:45 PM-1:00 PM,14:01,54,
1:00 PM-1:15 PM,13:39,55,
1:15 PM-1:30 PM,13:55,54,
1:30 PM-1:45 PM,14:26,52,
1:45 PM-2:00 PM,14:22,52,
2:00 PM-2:15 PM,13:56,54,
2:15 PM-2:30 PM,14:04,53,
2:30 PM-2:45 PM,14:10,53,
2:45 PM-3:00 PM,14:49,51,
3:00 PM-3:15 PM,15:05,50,
3:15 PM-3:30 PM,15:56,47,
3:30 PM-3:45 PM,17:19,43,
3:45 PM-4:00 PM,19:06,39,
4:00 PM-4:15 PM,21:21,35,
4:15 PM-4:30 PM,25:18:00,30,
4:30 PM-4:45 PM,27:42:00,27,
4:45 PM-5:00 PM,28:46:00,26,
5:00 PM-5:15 PM,29:34:00,25,
5:15 PM-5:30 PM,33:23:00,22,
5:30 PM-5:45 PM,34:31:00,22,
5:45 PM-6:00 PM,32:24:00,23,
6:00 PM-6:15 PM,29:05:00,26,
6:15 PM-6:30 PM,26:48:00,28,
6:30 PM-6:45 PM,23:53,31,
6:45 PM-7:00 PM,19:52,38,
