Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,14:17,68,
5:15 AM-5:30 AM,14:14,68,
5:30 AM-5:45 AM,14:16,68,
5:45 AM-6:00 AM,14:21,67,
6:00 AM-6:15 AM,14:29,67,
6:15 AM-6:30 AM,14:47,65,
6:30 AM-6:45 AM,14:54,65,
6:45 AM-7:00 AM,14:48,65,
7:00 AM-7:15 AM,14:54,65,
7:15 AM-7:30 AM,14:50,65,
7:30 AM-7:45 AM,14:57,65,
7:45 AM-8:00 AM,15:05,64,
8:00 AM-8:15 AM,15:06,64,
8:15 AM-8:30 AM,15:09,64,
8:30 AM-8:45 AM,15:06,64,
8:45 AM-9:00 AM,15:03,64,
9:00 AM-9:15 AM,15:03,64,
9:15 AM-9:30 AM,15:05,64,
9:30 AM-9:45 AM,15:07,64,
9:45 AM-10:00 AM,15:03,64,
10:00 AM-10:15 AM,14:56,65,
10:15 AM-10:30 AM,14:54,65,
10:30 AM-10:45 AM,14:58,65,
10:45 AM-11:00 AM,14:54,65,
11:00 AM-11:15 AM,14:55,65,
11:15 AM-11:30 AM,14:57,65,
11:30 AM-11:45 AM,15:03,64,
11:45 AM-12:00 PM,15:03,64,
12:00 PM-12:15 PM,15:04,64,
12:15 PM-12:30 PM,15:04,64,
12:30 PM-12:45 PM,15:08,64,
12:45 PM-1:00 PM,15:11,64,
1:00 PM-1:15 PM,15:09,64,
1:15 PM-1:30 PM,15:12,64,
1:30 PM-1:45 PM,15:14,63,
1:45 PM-2:00 PM,15:17,63,
2:00 PM-2:15 PM,15:19,63,
2:15 PM-2:30 PM,15:25,63,
2:30 PM-2:45 PM,15:32,62,
2:45 PM-3:00 PM,15:56,61,
3:00 PM-3:15 PM,16:31,58,
3:15 PM-3:30 PM,17:47,54,
3:30 PM-3:45 PM,19:14,50,
3:45 PM-4:00 PM,21:10,46,
4:00 PM-4:15 PM,23:43,41,
4:15 PM-4:30 PM,28:33:00,34,
4:30 PM-4:45 PM,32:05:00,30,
4:45 PM-5:00 PM,34:52:00,28,
5:00 PM-5:15 PM,36:57:00,26,
5:15 PM-5:30 PM,39:44:00,24,
5:30 PM-5:45 PM,40:01:00,24,
5:45 PM-6:00 PM,37:57:00,25,
6:00 PM-6:15 PM,34:16:00,28,
6:15 PM-6:30 PM,31:09:00,31,
6:30 PM-6:45 PM,28:02:00,34,
6:45 PM-7:00 PM,24:37:00,39,
