Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,13:29,66,
5:15 AM-5:30 AM,13:42,65,
5:30 AM-5:45 AM,14:27,61,
5:45 AM-6:00 AM,16:22,54,
6:00 AM-6:15 AM,18:27,48,
6:15 AM-6:30 AM,23:13,38,
6:30 AM-6:45 AM,27:22:00,32,
6:45 AM-7:00 AM,28:44:00,31,
7:00 AM-7:15 AM,29:32:00,30,
7:15 AM-7:30 AM,33:10:00,27,
7:30 AM-7:45 AM,35:30:00,25,
7:45 AM-8:00 AM,34:40:00,26,
8:00 AM-8:15 AM,30:43:00,29,
8:15 AM-8:30 AM,28:12:00,31,
8:30 AM-8:45 AM,26:21:00,34,
8:45 AM-9:00 AM,23:56,37,
9:00 AM-9:15 AM,21:05,42,
9:15 AM-9:30 AM,19:15,46,
9:30 AM-9:45 AM,18:51,47,
9:45 AM-10:00 AM,18:47,47,
10:00 AM-10:15 AM,17:47,50,
10:15 AM-10:30 AM,17:23,51,
10:30 AM-10:45 AM,17:28,51,
10:45 AM-11:00 AM,17:35,51,
11:00 AM-11:15 AM,17:17,51,
11:15 AM-11:30 AM,17:17,51,
11:30 AM-11:45 AM,17:36,50,
11:45 AM-12:00 PM,18:04,49,
12:00 PM-12:15 PM,18:02,49,
12:15 PM-12:30 PM,18:15,49,
12:30 PM-12:45 PM,18:41,48,
12:45 PM-1:00 PM,18:35,48,
1:00 PM-1:15 PM,18:34,48,
1:15 PM-1:30 PM,18:54,47,
1:30 PM-1:45 PM,18:28,48,
1:45 PM-2:00 PM,18:21,48,
2:00 PM-2:15 PM,18:18,49,
2:15 PM-2:30 PM,19:13,46,
2:30 PM-2:45 PM,20:37,43,
2:45 PM-3:00 PM,20:51,43,
3:00 PM-3:15 PM,20:23,44,
3:15 PM-3:30 PM,21:07,42,
3:30 PM-3:45 PM,22:07,40,
3:45 PM-4:00 PM,24:23:00,36,
4:00 PM-4:15 PM,25:32:00,35,
4:15 PM-4:30 PM,27:35:00,32,
4:30 PM-4:45 PM,27:27:00,32,
4:45 PM-5:00 PM,27:24:00,32,
5:00 PM-5:15 PM,27:30:00,32,
5:15 PM-5:30 PM,30:35:00,29,
5:30 PM-5:45 PM,32:06:00,28,
5:45 PM-6:00 PM,32:28:00,27,
6:00 PM-6:15 PM,30:23:00,29,
6:15 PM-6:30 PM,28:22:00,31,
6:30 PM-6:45 PM,25:32:00,35,
6:45 PM-7:00 PM,23:14,38,
