Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,13:24,66,
5:15 AM-5:30 AM,13:32,66,
5:30 AM-5:45 AM,13:49,64,
5:45 AM-6:00 AM,14:02,63,
6:00 AM-6:15 AM,14:27,61,
6:15 AM-6:30 AM,15:21,58,
6:30 AM-6:45 AM,16:19,54,
6:45 AM-7:00 AM,17:17,51,
7:00 AM-7:15 AM,16:59,52,
7:15 AM-7:30 AM,17:22,51,
7:30 AM-7:45 AM,17:40,50,
7:45 AM-8:00 AM,17:54,50,
8:00 AM-8:15 AM,18:09,49,
8:15 AM-8:30 AM,18:09,49,
8:30 AM-8:45 AM,18:23,48,
8:45 AM-9:00 AM,18:27,48,
9:00 AM-9:15 AM,18:15,49,
9:15 AM-9:30 AM,18:06,49,
9:30 AM-9:45 AM,18:09,49,
9:45 AM-10:00 AM,18:04,49,
10:00 AM-10:15 AM,17:28,51,
10:15 AM-10:30 AM,17:48,50,
10:30 AM-10:45 AM,17:11,52,
10:45 AM-11:00 AM,16:56,52,
11:00 AM-11:15 AM,16:40,53,
11:15 AM-11:30 AM,16:44,53,
11:30 AM-11:45 AM,16:54,53,
11:45 AM-12:00 PM,17:11,52,
12:00 PM-12:15 PM,17:41,50,
12:15 PM-12:30 PM,17:59,49,
12:30 PM-12:45 PM,17:59,49,
12:45 PM-1:00 PM,17:54,50,
1:00 PM-1:15 PM,17:44,50,
1:15 PM-1:30 PM,17:59,49,
1:30 PM-1:45 PM,18:06,49,
1:45 PM-2:00 PM,17:45,50,
2:00 PM-2:15 PM,18:04,49,
2:15 PM-2:30 PM,18:31,48,
2:30 PM-2:45 PM,18:56,47,
2:45 PM-3:00 PM,19:46,45,
3:00 PM-3:15 PM,20:14,44,
3:15 PM-3:30 PM,21:01,42,
3:30 PM-3:45 PM,22:03,40,
3:45 PM-4:00 PM,23:05,38,
4:00 PM-4:15 PM,23:09,38,
4:15 PM-4:30 PM,24:12:00,37,
4:30 PM-4:45 PM,24:58:00,36,
4:45 PM-5:00 PM,25:37:00,35,
5:00 PM-5:15 PM,26:35:00,33,
5:15 PM-5:30 PM,28:18:00,31,
5:30 PM-5:45 PM,29:47:00,30,
5:45 PM-6:00 PM,31:01:00,29,
6:00 PM-6:15 PM,29:53:00,30,
6:15 PM-6:30 PM,27:12:00,33,
6:30 PM-6:45 PM,24:57:00,36,
6:45 PM-7:00 PM,22:36,39,
