Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,20:16,67,
5:15 AM-5:30 AM,20:09,67,
5:30 AM-5:45 AM,20:05,67,
5:45 AM-6:00 AM,20:15,67,
6:00 AM-6:15 AM,20:32,66,
6:15 AM-6:30 AM,21:09,64,
6:30 AM-6:45 AM,22:08,61,
6:45 AM-7:00 AM,23:04,59,
7:00 AM-7:15 AM,23:02,59,
7:15 AM-7:30 AM,23:34,57,
7:30 AM-7:45 AM,25:11:00,54,
7:45 AM-8:00 AM,26:23:00,51,
8:00 AM-8:15 AM,25:58:00,52,
8:15 AM-8:30 AM,25:20:00,53,
8:30 AM-8:45 AM,25:03:00,54,
8:45 AM-9:00 AM,24:20:00,55,
9:00 AM-9:15 AM,23:49,57,
9:15 AM-9:30 AM,22:43,59,
9:30 AM-9:45 AM,22:01,61,
9:45 AM-10:00 AM,21:42,62,
10:00 AM-10:15 AM,21:20,63,
10:15 AM-10:30 AM,21:03,64,
10:30 AM-10:45 AM,21:02,64,
10:45 AM-11:00 AM,21:10,64,
11:00 AM-11:15 AM,21:14,64,
11:15 AM-11:30 AM,21:08,64,
11:30 AM-11:45 AM,20:54,65,
11:45 AM-12:00 PM,21:05,64,
12:00 PM-12:15 PM,21:11,64,
12:15 PM-12:30 PM,21:22,63,
12:30 PM-12:45 PM,21:29,63,
12:45 PM-1:00 PM,21:12,64,
1:00 PM-1:15 PM,21:33,63,
1:15 PM-1:30 PM,21:26,63,
1:30 PM-1:45 PM,21:40,62,
1:45 PM-2:00 PM,21:34,63,
2:00 PM-2:15 PM,21:52,62,
2:15 PM-2:30 PM,21:34,63,
2:30 PM-2:45 PM,21:48,62,
2:45 PM-3:00 PM,21:41,62,
3:00 PM-3:15 PM,22:24,60,
3:15 PM-3:30 PM,22:53,59,
3:30 PM-3:45 PM,22:19,60,
3:45 PM-4:00 PM,22:38,60,
4:00 PM-4:15 PM,23:10,58,
4:15 PM-4:30 PM,24:51:00,54,
4:30 PM-4:45 PM,26:06:00,52,
4:45 PM-5:00 PM,27:06:00,50,
5:00 PM-5:15 PM,27:55:00,48,
5:15 PM-5:30 PM,30:06:00,45,
5:30 PM-5:45 PM,30:10:00,45,
5:45 PM-6:00 PM,29:02:00,46,
6:00 PM-6:15 PM,26:58:00,50,
6:15 PM-6:30 PM,25:36:00,53,
6:30 PM-6:45 PM,24:07:00,56,
6:45 PM-7:00 PM,22:54,59,
