Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,8:34,64,
5:15 AM-5:30 AM,8:37,64,
5:30 AM-5:45 AM,8:51,62,
5:45 AM-6:00 AM,8:54,62,
6:00 AM-6:15 AM,9:06,61,
6:15 AM-6:30 AM,9:47,56,
6:30 AM-6:45 AM,11:03,50,
6:45 AM-7:00 AM,12:04,46,
7:00 AM-7:15 AM,11:50,47,
7:15 AM-7:30 AM,12:16,45,
7:30 AM-7:45 AM,13:01,42,
7:45 AM-8:00 AM,13:54,40,
8:00 AM-8:15 AM,13:43,40,
8:15 AM-8:30 AM,12:46,43,
8:30 AM-8:45 AM,12:49,43,
8:45 AM-9:00 AM,11:57,46,
9:00 AM-9:15 AM,11:00,50,
9:15 AM-9:30 AM,10:42,52,
9:30 AM-9:45 AM,10:53,51,
9:45 AM-10:00 AM,10:45,51,
10:00 AM-10:15 AM,10:38,52,
10:15 AM-10:30 AM,10:07,55,
10:30 AM-10:45 AM,10:01,55,
10:45 AM-11:00 AM,9:52,56,
11:00 AM-11:15 AM,9:47,56,
11:15 AM-11:30 AM,10:00,55,
11:30 AM-11:45 AM,9:50,56,
11:45 AM-12:00 PM,9:55,56,
12:00 PM-12:15 PM,9:59,55,
12:15 PM-12:30 PM,10:08,54,
12:30 PM-12:45 PM,10:24,53,
12:45 PM-1:00 PM,10:38,52,
1:00 PM-1:15 PM,10:35,52,
1:15 PM-1:30 PM,10:46,51,
1:30 PM-1:45 PM,10:40,52,
1:45 PM-2:00 PM,10:47,51,
2:00 PM-2:15 PM,10:43,52,
2:15 PM-2:30 PM,10:54,51,
2:30 PM-2:45 PM,11:07,50,
2:45 PM-3:00 PM,11:23,48,
3:00 PM-3:15 PM,11:25,48,
3:15 PM-3:30 PM,11:52,47,
3:30 PM-3:45 PM,12:08,45,
3:45 PM-4:00 PM,12:20,45,
4:00 PM-4:15 PM,12:40,44,
4:15 PM-4:30 PM,13:11,42,
4:30 PM-4:45 PM,13:28,41,
4:45 PM-5:00 PM,13:54,40,
5:00 PM-5:15 PM,14:09,39,
5:15 PM-5:30 PM,14:30,38,
5:30 PM-5:45 PM,14:14,39,
5:45 PM-6:00 PM,14:06,39,
6:00 PM-6:15 PM,13:23,41,
6:15 PM-6:30 PM,13:20,41,
6:30 PM-6:45 PM,12:53,43,
6:45 PM-7:00 PM,12:11,45,
