Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,10:08,65,
5:15 AM-5:30 AM,10:10,65,
5:30 AM-5:45 AM,10:42,62,
5:45 AM-6:00 AM,10:55,60,
6:00 AM-6:15 AM,11:17,58,
6:15 AM-6:30 AM,13:03,51,
6:30 AM-6:45 AM,15:44,42,
6:45 AM-7:00 AM,17:05,39,
7:00 AM-7:15 AM,17:16,38,
7:15 AM-7:30 AM,18:56,35,
7:30 AM-7:45 AM,21:17,31,
7:45 AM-8:00 AM,22:44,29,
8:00 AM-8:15 AM,22:38,29,
8:15 AM-8:30 AM,21:13,31,
8:30 AM-8:45 AM,19:46,33,
8:45 AM-9:00 AM,18:34,36,
9:00 AM-9:15 AM,16:34,40,
9:15 AM-9:30 AM,14:54,44,
9:30 AM-9:45 AM,13:53,48,
9:45 AM-10:00 AM,13:36,49,
10:00 AM-10:15 AM,12:39,52,
10:15 AM-10:30 AM,11:57,55,
10:30 AM-10:45 AM,12:00,55,
10:45 AM-11:00 AM,11:47,56,
11:00 AM-11:15 AM,11:31,57,
11:15 AM-11:30 AM,11:27,58,
11:30 AM-11:45 AM,11:24,58,
11:45 AM-12:00 PM,11:24,58,
12:00 PM-12:15 PM,11:33,57,
12:15 PM-12:30 PM,11:47,56,
12:30 PM-12:45 PM,11:37,57,
12:45 PM-1:00 PM,11:37,57,
1:00 PM-1:15 PM,11:43,56,
1:15 PM-1:30 PM,11:45,56,
1:30 PM-1:45 PM,11:58,55,
1:45 PM-2:00 PM,12:03,55,
2:00 PM-2:15 PM,11:53,56,
2:15 PM-2:30 PM,12:11,54,
2:30 PM-2:45 PM,12:27,53,
2:45 PM-3:00 PM,12:43,52,
3:00 PM-3:15 PM,12:47,52,
3:15 PM-3:30 PM,13:04,51,
3:30 PM-3:45 PM,14:17,46,
3:45 PM-4:00 PM,15:29,43,
4:00 PM-4:15 PM,17:10,38,
4:15 PM-4:30 PM,18:54,35,
4:30 PM-4:45 PM,20:05,33,
4:45 PM-5:00 PM,20:46,32,
5:00 PM-5:15 PM,21:24,31,
5:15 PM-5:30 PM,21:59,30,
5:30 PM-5:45 PM,22:11,30,
5:45 PM-6:00 PM,21:48,30,
6:00 PM-6:15 PM,20:32,32,
6:15 PM-6:30 PM,19:50,33,
6:30 PM-6:45 PM,18:14,36,
6:45 PM-7:00 PM,16:13,41,
