Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,10:39,62,
5:15 AM-5:30 AM,10:31,63,
5:30 AM-5:45 AM,10:32,63,
5:45 AM-6:00 AM,10:41,62,
6:00 AM-6:15 AM,10:43,62,
6:15 AM-6:30 AM,10:53,61,
6:30 AM-6:45 AM,11:21,58,
6:45 AM-7:00 AM,12:08,54,
7:00 AM-7:15 AM,12:33,53,
7:15 AM-7:30 AM,13:13,50,
7:30 AM-7:45 AM,13:54,47,
7:45 AM-8:00 AM,14:28,46,
8:00 AM-8:15 AM,14:39,45,
8:15 AM-8:30 AM,13:45,48,
8:30 AM-8:45 AM,13:12,50,
8:45 AM-9:00 AM,12:52,51,
9:00 AM-9:15 AM,12:32,53,
9:15 AM-9:30 AM,12:18,54,
9:30 AM-9:45 AM,12:31,53,
9:45 AM-10:00 AM,12:11,54,
10:00 AM-10:15 AM,11:39,57,
10:15 AM-10:30 AM,11:42,56,
10:30 AM-10:45 AM,11:46,56,
10:45 AM-11:00 AM,12:02,55,
11:00 AM-11:15 AM,11:51,56,
11:15 AM-11:30 AM,11:40,57,
11:30 AM-11:45 AM,12:14,54,
11:45 AM-12:00 PM,12:13,54,
12:00 PM-12:15 PM,12:43,52,
12:15 PM-12:30 PM,12:41,52,
12:30 PM-12:45 PM,12:41,52,
12:45 PM-1:00 PM,13:26,49,
1:00 PM-1:15 PM,13:08,50,
1:15 PM-1:30 PM,12:51,51,
1:30 PM-1:45 PM,13:21,49,
1:45 PM-2:00 PM,13:15,50,
2:00 PM-2:15 PM,13:00,51,
2:15 PM-2:30 PM,13:38,48,
2:30 PM-2:45 PM,14:07,47,
2:45 PM-3:00 PM,14:29,46,
3:00 PM-3:15 PM,14:46,45,
3:15 PM-3:30 PM,15:56,41,
3:30 PM-3:45 PM,16:47,39,
3:45 PM-4:00 PM,18:25,36,
4:00 PM-4:15 PM,19:14,34,
4:15 PM-4:30 PM,20:38,32,
4:30 PM-4:45 PM,22:06,30,
4:45 PM-5:00 PM,22:58,29,
5:00 PM-5:15 PM,23:58,28,
5:15 PM-5:30 PM,25:44:00,26,
5:30 PM-5:45 PM,26:36:00,25,
5:45 PM-6:00 PM,25:46:00,26,
6:00 PM-6:15 PM,23:40,28,
6:15 PM-6:30 PM,21:09,31,
6:30 PM-6:45 PM,18:43,35,
6:45 PM-7:00 PM,16:13,41,
