Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,11:29,64,
5:15 AM-5:30 AM,11:29,64,
5:30 AM-5:45 AM,11:35,63,
5:45 AM-6:00 AM,11:46,62,
6:00 AM-6:15 AM,12:23,59,
6:15 AM-6:30 AM,15:00,49,
6:30 AM-6:45 AM,17:15,42,
6:45 AM-7:00 AM,18:32,39,
7:00 AM-7:15 AM,18:48,39,
7:15 AM-7:30 AM,20:20,36,
7:30 AM-7:45 AM,22:11,33,
7:45 AM-8:00 AM,23:40,31,
8:00 AM-8:15 AM,22:56,32,
8:15 AM-8:30 AM,23:05,32,
8:30 AM-8:45 AM,23:45,31,
8:45 AM-9:00 AM,23:48,31,
9:00 AM-9:15 AM,21:57,33,
9:15 AM-9:30 AM,20:12,36,
9:30 AM-9:45 AM,19:36,37,
9:45 AM-10:00 AM,19:25,38,
10:00 AM-10:15 AM,18:20,40,
10:15 AM-10:30 AM,17:08,43,
10:30 AM-10:45 AM,16:28,44,
10:45 AM-11:00 AM,16:45,44,
11:00 AM-11:15 AM,16:29,44,
11:15 AM-11:30 AM,16:38,44,
11:30 AM-11:45 AM,16:56,43,
11:45 AM-12:00 PM,17:33,42,
12:00 PM-12:15 PM,17:04,43,
12:15 PM-12:30 PM,17:08,43,
12:30 PM-12:45 PM,17:38,42,
12:45 PM-1:00 PM,18:15,40,
1:00 PM-1:15 PM,17:47,41,
1:15 PM-1:30 PM,17:53,41,
1:30 PM-1:45 PM,17:57,41,
1:45 PM-2:00 PM,17:30,42,
2:00 PM-2:15 PM,16:21,45,
2:15 PM-2:30 PM,17:09,43,
2:30 PM-2:45 PM,17:50,41,
2:45 PM-3:00 PM,18:22,40,
3:00 PM-3:15 PM,18:47,39,
3:15 PM-3:30 PM,19:49,37,
3:30 PM-3:45 PM,20:29,36,
3:45 PM-4:00 PM,22:06,33,
4:00 PM-4:15 PM,23:09,32,
4:15 PM-4:30 PM,26:58:00,27,
4:30 PM-4:45 PM,28:44:00,25,
4:45 PM-5:00 PM,29:18:00,25,
5:00 PM-5:15 PM,28:54:00,25,
5:15 PM-5:30 PM,30:35:00,24,
5:30 PM-5:45 PM,32:01:00,23,
5:45 PM-6:00 PM,31:03:00,24,
6:00 PM-6:15 PM,28:58:00,25,
6:15 PM-6:30 PM,27:17:00,27,
6:30 PM-6:45 PM,25:38:00,29,
6:45 PM-7:00 PM,22:51,32,
