Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,11:14,68,
5:15 AM-5:30 AM,11:15,68,
5:30 AM-5:45 AM,11:25,67,
5:45 AM-6:00 AM,11:30,67,
6:00 AM-6:15 AM,11:54,65,
6:15 AM-6:30 AM,13:02,59,
6:30 AM-6:45 AM,13:58,55,
6:45 AM-7:00 AM,13:55,55,
7:00 AM-7:15 AM,14:01,55,
7:15 AM-7:30 AM,14:54,52,
7:30 AM-7:45 AM,14:41,52,
7:45 AM-8:00 AM,14:09,54,
8:00 AM-8:15 AM,14:02,55,
8:15 AM-8:30 AM,13:21,58,
8:30 AM-8:45 AM,12:53,60,
8:45 AM-9:00 AM,12:47,60,
9:00 AM-9:15 AM,12:55,59,
9:15 AM-9:30 AM,12:52,60,
9:30 AM-9:45 AM,12:51,60,
9:45 AM-10:00 AM,12:37,61,
10:00 AM-10:15 AM,12:46,60,
10:15 AM-10:30 AM,12:40,61,
10:30 AM-10:45 AM,12:36,61,
10:45 AM-11:00 AM,12:41,61,
11:00 AM-11:15 AM,12:50,60,
11:15 AM-11:30 AM,12:41,61,
11:30 AM-11:45 AM,12:48,60,
11:45 AM-12:00 PM,12:43,60,
12:00 PM-12:15 PM,12:51,60,
12:15 PM-12:30 PM,12:51,60,
12:30 PM-12:45 PM,12:45,60,
12:45 PM-1:00 PM,12:44,60,
1:00 PM-1:15 PM,12:43,60,
1:15 PM-1:30 PM,12:50,60,
1:30 PM-1:45 PM,12:52,60,
1:45 PM-2:00 PM,12:53,60,
2:00 PM-2:15 PM,12:58,59,
2:15 PM-2:30 PM,13:08,58,
2:30 PM-2:45 PM,13:18,58,
2:45 PM-3:00 PM,13:47,56,
3:00 PM-3:15 PM,14:24,53,
3:15 PM-3:30 PM,14:44,52,
3:30 PM-3:45 PM,15:06,51,
3:45 PM-4:00 PM,16:19,47,
4:00 PM-4:15 PM,16:59,45,
4:15 PM-4:30 PM,18:59,40,
4:30 PM-4:45 PM,20:51,37,
4:45 PM-5:00 PM,23:56,32,
5:00 PM-5:15 PM,25:02:00,31,
5:15 PM-5:30 PM,29:51:00,26,
5:30 PM-5:45 PM,29:09:00,26,
5:45 PM-6:00 PM,26:57:00,28,
6:00 PM-6:15 PM,23:45,32,
6:15 PM-6:30 PM,21:07,36,
6:30 PM-6:45 PM,17:39,44,
6:45 PM-7:00 PM,15:10,51,
