Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,6:17,65,
5:15 AM-5:30 AM,6:14,65,
5:30 AM-5:45 AM,6:14,65,
5:45 AM-6:00 AM,6:13,66,
6:00 AM-6:15 AM,6:25,64,
6:15 AM-6:30 AM,6:54,59,
6:30 AM-6:45 AM,7:44,53,
6:45 AM-7:00 AM,8:21,49,
7:00 AM-7:15 AM,8:05,50,
7:15 AM-7:30 AM,8:22,49,
7:30 AM-7:45 AM,8:19,49,
7:45 AM-8:00 AM,7:29,55,
8:00 AM-8:15 AM,6:56,59,
8:15 AM-8:30 AM,6:52,59,
8:30 AM-8:45 AM,6:52,59,
8:45 AM-9:00 AM,7:02,58,
9:00 AM-9:15 AM,6:44,61,
9:15 AM-9:30 AM,6:47,60,
9:30 AM-9:45 AM,6:51,60,
9:45 AM-10:00 AM,6:47,60,
10:00 AM-10:15 AM,6:53,59,
10:15 AM-10:30 AM,6:46,60,
10:30 AM-10:45 AM,6:44,61,
10:45 AM-11:00 AM,6:53,59,
11:00 AM-11:15 AM,7:05,58,
11:15 AM-11:30 AM,6:48,60,
11:30 AM-11:45 AM,7:18,56,
11:45 AM-12:00 PM,6:46,60,
12:00 PM-12:15 PM,7:18,56,
12:15 PM-12:30 PM,7:15,56,
12:30 PM-12:45 PM,6:59,58,
12:45 PM-1:00 PM,6:55,59,
1:00 PM-1:15 PM,7:13,57,
1:15 PM-1:30 PM,7:11,57,
1:30 PM-1:45 PM,7:09,57,
1:45 PM-2:00 PM,6:58,59,
2:00 PM-2:15 PM,6:56,59,
2:15 PM-2:30 PM,7:15,56,
2:30 PM-2:45 PM,6:51,60,
2:45 PM-3:00 PM,6:47,60,
3:00 PM-3:15 PM,6:48,60,
3:15 PM-3:30 PM,6:54,59,
3:30 PM-3:45 PM,6:49,60,
3:45 PM-4:00 PM,6:50,60,
4:00 PM-4:15 PM,6:58,59,
4:15 PM-4:30 PM,7:19,56,
4:30 PM-4:45 PM,7:01,58,
4:45 PM-5:00 PM,7:08,57,
5:00 PM-5:15 PM,6:56,59,
5:15 PM-5:30 PM,7:04,58,
5:30 PM-5:45 PM,7:05,58,
5:45 PM-6:00 PM,7:09,57,
6:00 PM-6:15 PM,6:58,59,
6:15 PM-6:30 PM,7:03,58,
6:30 PM-6:45 PM,7:00,58,
6:45 PM-7:00 PM,6:48,60,
