Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,15:47,64,
5:15 AM-5:30 AM,16:02,63,
5:30 AM-5:45 AM,16:28,62,
5:45 AM-6:00 AM,16:40,61,
6:00 AM-6:15 AM,17:29,58,
6:15 AM-6:30 AM,17:44,57,
6:30 AM-6:45 AM,18:02,56,
6:45 AM-7:00 AM,18:23,55,
7:00 AM-7:15 AM,18:06,56,
7:15 AM-7:30 AM,17:44,57,
7:30 AM-7:45 AM,17:29,58,
7:45 AM-8:00 AM,17:45,57,
8:00 AM-8:15 AM,17:39,57,
8:15 AM-8:30 AM,17:36,58,
8:30 AM-8:45 AM,17:32,58,
8:45 AM-9:00 AM,17:35,58,
9:00 AM-9:15 AM,17:41,57,
9:15 AM-9:30 AM,17:46,57,
9:30 AM-9:45 AM,17:55,57,
9:45 AM-10:00 AM,17:51,57,
10:00 AM-10:15 AM,17:52,57,
10:15 AM-10:30 AM,17:56,57,
10:30 AM-10:45 AM,17:52,57,
10:45 AM-11:00 AM,17:50,57,
11:00 AM-11:15 AM,17:54,57,
11:15 AM-11:30 AM,17:51,57,
11:30 AM-11:45 AM,17:44,57,
11:45 AM-12:00 PM,17:48,57,
12:00 PM-12:15 PM,17:48,57,
12:15 PM-12:30 PM,17:59,56,
12:30 PM-12:45 PM,18:08,56,
12:45 PM-1:00 PM,18:19,55,
1:00 PM-1:15 PM,18:43,54,
1:15 PM-1:30 PM,18:31,55,
1:30 PM-1:45 PM,18:26,55,
1:45 PM-2:00 PM,18:24,55,
2:00 PM-2:15 PM,18:28,55,
2:15 PM-2:30 PM,18:52,54,
2:30 PM-2:45 PM,19:00,53,
2:45 PM-3:00 PM,19:23,52,
3:00 PM-3:15 PM,20:15,50,
3:15 PM-3:30 PM,21:52,46,
3:30 PM-3:45 PM,23:21,43,
3:45 PM-4:00 PM,24:10:00,42,
4:00 PM-4:15 PM,25:35:00,40,
4:15 PM-4:30 PM,28:23:00,36,
4:30 PM-4:45 PM,31:37:00,32,
4:45 PM-5:00 PM,33:51:00,30,
5:00 PM-5:15 PM,35:31:00,29,
5:15 PM-5:30 PM,36:44:00,28,
5:30 PM-5:45 PM,37:22:00,27,
5:45 PM-6:00 PM,36:36:00,28,
6:00 PM-6:15 PM,35:06:00,29,
6:15 PM-6:30 PM,30:46:00,33,
6:30 PM-6:45 PM,27:09:00,37,
6:45 PM-7:00 PM,23:45,43,
