Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,6:41,64,
5:15 AM-5:30 AM,6:35,65,
5:30 AM-5:45 AM,6:32,65,
5:45 AM-6:00 AM,6:37,64,
6:00 AM-6:15 AM,6:51,62,
6:15 AM-6:30 AM,7:02,61,
6:30 AM-6:45 AM,7:14,59,
6:45 AM-7:00 AM,8:28,50,
7:00 AM-7:15 AM,8:55,48,
7:15 AM-7:30 AM,9:26,45,
7:30 AM-7:45 AM,11:14,38,
7:45 AM-8:00 AM,12:35,34,
8:00 AM-8:15 AM,11:46,36,
8:15 AM-8:30 AM,10:37,40,
8:30 AM-8:45 AM,9:48,43,
8:45 AM-9:00 AM,9:33,45,
9:00 AM-9:15 AM,8:37,49,
9:15 AM-9:30 AM,7:41,55,
9:30 AM-9:45 AM,7:22,58,
9:45 AM-10:00 AM,7:25,57,
10:00 AM-10:15 AM,7:04,60,
10:15 AM-10:30 AM,7:02,61,
10:30 AM-10:45 AM,7:01,61,
10:45 AM-11:00 AM,7:04,60,
11:00 AM-11:15 AM,7:04,60,
11:15 AM-11:30 AM,7:05,60,
11:30 AM-11:45 AM,7:07,60,
11:45 AM-12:00 PM,7:06,60,
12:00 PM-12:15 PM,7:04,60,
12:15 PM-12:30 PM,7:19,58,
12:30 PM-12:45 PM,7:27,57,
12:45 PM-1:00 PM,7:39,56,
1:00 PM-1:15 PM,7:32,57,
1:15 PM-1:30 PM,7:32,57,
1:30 PM-1:45 PM,7:21,58,
1:45 PM-2:00 PM,7:21,58,
2:00 PM-2:15 PM,7:12,59,
2:15 PM-2:30 PM,7:11,59,
2:30 PM-2:45 PM,7:09,60,
2:45 PM-3:00 PM,7:22,58,
3:00 PM-3:15 PM,7:32,57,
3:15 PM-3:30 PM,8:27,50,
3:30 PM-3:45 PM,9:01,47,
3:45 PM-4:00 PM,9:53,43,
4:00 PM-4:15 PM,10:13,42,
4:15 PM-4:30 PM,11:26,37,
4:30 PM-4:45 PM,12:26,34,
4:45 PM-5:00 PM,12:48,33,
5:00 PM-5:15 PM,13:01,33,
5:15 PM-5:30 PM,14:02,30,
5:30 PM-5:45 PM,14:17,30,
5:45 PM-6:00 PM,13:56,31,
6:00 PM-6:15 PM,11:53,36,
6:15 PM-6:30 PM,11:16,38,
6:30 PM-6:45 PM,10:30,41,
6:45 PM-7:00 PM,9:23,45,
