Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,14:01,72,
5:15 AM-5:30 AM,13:57,72,
5:30 AM-5:45 AM,13:58,72,
5:45 AM-6:00 AM,14:02,72,
6:00 AM-6:15 AM,14:33,69,
6:15 AM-6:30 AM,15:26,65,
6:30 AM-6:45 AM,16:42,60,
6:45 AM-7:00 AM,18:28,54,
7:00 AM-7:15 AM,20:13,50,
7:15 AM-7:30 AM,22:18,45,
7:30 AM-7:45 AM,23:44,42,
7:45 AM-8:00 AM,23:17,43,
8:00 AM-8:15 AM,20:21,49,
8:15 AM-8:30 AM,18:43,54,
8:30 AM-8:45 AM,17:11,58,
8:45 AM-9:00 AM,16:14,62,
9:00 AM-9:15 AM,15:47,64,
9:15 AM-9:30 AM,15:49,64,
9:30 AM-9:45 AM,15:08,66,
9:45 AM-10:00 AM,15:22,65,
10:00 AM-10:15 AM,15:21,65,
10:15 AM-10:30 AM,14:57,67,
10:30 AM-10:45 AM,15:48,64,
10:45 AM-11:00 AM,15:54,63,
11:00 AM-11:15 AM,15:59,63,
11:15 AM-11:30 AM,15:28,65,
11:30 AM-11:45 AM,15:30,65,
11:45 AM-12:00 PM,15:20,66,
12:00 PM-12:15 PM,15:39,64,
12:15 PM-12:30 PM,16:27,61,
12:30 PM-12:45 PM,15:14,66,
12:45 PM-1:00 PM,15:19,66,
1:00 PM-1:15 PM,15:18,66,
1:15 PM-1:30 PM,14:55,67,
1:30 PM-1:45 PM,14:52,68,
1:45 PM-2:00 PM,15:11,66,
2:00 PM-2:15 PM,15:17,66,
2:15 PM-2:30 PM,14:48,68,
2:30 PM-2:45 PM,14:49,68,
2:45 PM-3:00 PM,14:52,68,
3:00 PM-3:15 PM,14:59,67,
3:15 PM-3:30 PM,15:04,67,
3:30 PM-3:45 PM,15:17,66,
3:45 PM-4:00 PM,15:06,67,
4:00 PM-4:15 PM,15:08,66,
4:15 PM-4:30 PM,15:03,67,
4:30 PM-4:45 PM,14:58,67,
4:45 PM-5:00 PM,14:53,68,
5:00 PM-5:15 PM,14:59,67,
5:15 PM-5:30 PM,15:04,67,
5:30 PM-5:45 PM,14:57,67,
5:45 PM-6:00 PM,14:46,68,
6:00 PM-6:15 PM,15:28,65,
6:15 PM-6:30 PM,15:08,66,
6:30 PM-6:45 PM,15:00,67,
6:45 PM-7:00 PM,15:03,67,
