Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,17:14,64,
5:15 AM-5:30 AM,17:06,65,
5:30 AM-5:45 AM,17:10,64,
5:45 AM-6:00 AM,17:11,64,
6:00 AM-6:15 AM,17:05,65,
6:15 AM-6:30 AM,17:11,64,
6:30 AM-6:45 AM,17:15,64,
6:45 AM-7:00 AM,17:29,63,
7:00 AM-7:15 AM,17:13,64,
7:15 AM-7:30 AM,17:26,63,
7:30 AM-7:45 AM,17:38,63,
7:45 AM-8:00 AM,17:38,63,
8:00 AM-8:15 AM,17:47,62,
8:15 AM-8:30 AM,18:04,61,
8:30 AM-8:45 AM,17:29,63,
8:45 AM-9:00 AM,17:42,62,
9:00 AM-9:15 AM,17:37,63,
9:15 AM-9:30 AM,17:50,62,
9:30 AM-9:45 AM,17:24,63,
9:45 AM-10:00 AM,17:34,63,
10:00 AM-10:15 AM,17:29,63,
10:15 AM-10:30 AM,17:47,62,
10:30 AM-10:45 AM,17:49,62,
10:45 AM-11:00 AM,17:39,63,
11:00 AM-11:15 AM,17:34,63,
11:15 AM-11:30 AM,17:36,63,
11:30 AM-11:45 AM,17:47,62,
11:45 AM-12:00 PM,17:34,63,
12:00 PM-12:15 PM,17:50,62,
12:15 PM-12:30 PM,17:59,61,
12:30 PM-12:45 PM,18:02,61,
12:45 PM-1:00 PM,17:54,62,
1:00 PM-1:15 PM,18:03,61,
1:15 PM-1:30 PM,18:37,59,
1:30 PM-1:45 PM,18:40,59,
1:45 PM-2:00 PM,18:27,60,
2:00 PM-2:15 PM,18:37,59,
2:15 PM-2:30 PM,18:14,61,
2:30 PM-2:45 PM,18:03,61,
2:45 PM-3:00 PM,18:09,61,
3:00 PM-3:15 PM,18:23,60,
3:15 PM-3:30 PM,18:27,60,
3:30 PM-3:45 PM,18:57,58,
3:45 PM-4:00 PM,19:12,57,
4:00 PM-4:15 PM,19:43,56,
4:15 PM-4:30 PM,20:31,54,
4:30 PM-4:45 PM,21:18,52,
4:45 PM-5:00 PM,21:50,51,
5:00 PM-5:15 PM,22:38,49,
5:15 PM-5:30 PM,23:46,46,
5:30 PM-5:45 PM,23:58,46,
5:45 PM-6:00 PM,23:15,47,
6:00 PM-6:15 PM,22:06,50,
6:15 PM-6:30 PM,21:32,51,
6:30 PM-6:45 PM,20:35,54,
6:45 PM-7:00 PM,19:39,56,
