Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,5:55,56,
5:15 AM-5:30 AM,5:54,56,
5:30 AM-5:45 AM,5:55,56,
5:45 AM-6:00 AM,5:57,55,
6:00 AM-6:15 AM,6:23,52,
6:15 AM-6:30 AM,6:23,52,
6:30 AM-6:45 AM,6:08,54,
6:45 AM-7:00 AM,6:14,53,
7:00 AM-7:15 AM,6:21,52,
7:15 AM-7:30 AM,6:27,51,
7:30 AM-7:45 AM,6:43,49,
7:45 AM-8:00 AM,7:11,46,
8:00 AM-8:15 AM,8:17,40,
8:15 AM-8:30 AM,7:50,42,
8:30 AM-8:45 AM,8:28,39,
8:45 AM-9:00 AM,8:00,41,
9:00 AM-9:15 AM,7:53,42,
9:15 AM-9:30 AM,7:43,43,
9:30 AM-9:45 AM,7:36,43,
9:45 AM-10:00 AM,7:30,44,
10:00 AM-10:15 AM,7:15,46,
10:15 AM-10:30 AM,7:21,45,
10:30 AM-10:45 AM,6:55,48,
10:45 AM-11:00 AM,7:14,46,
11:00 AM-11:15 AM,6:45,49,
11:15 AM-11:30 AM,7:08,46,
11:30 AM-11:45 AM,7:29,44,
11:45 AM-12:00 PM,7:15,46,
12:00 PM-12:15 PM,7:18,45,
12:15 PM-12:30 PM,7:19,45,
12:30 PM-12:45 PM,7:32,44,
12:45 PM-1:00 PM,7:37,43,
1:00 PM-1:15 PM,7:51,42,
1:15 PM-1:30 PM,7:47,42,
1:30 PM-1:45 PM,8:18,40,
1:45 PM-2:00 PM,8:21,40,
2:00 PM-2:15 PM,7:55,42,
2:15 PM-2:30 PM,8:25,39,
2:30 PM-2:45 PM,9:17,36,
2:45 PM-3:00 PM,9:07,36,
3:00 PM-3:15 PM,9:39,34,
3:15 PM-3:30 PM,10:50,30,
3:30 PM-3:45 PM,11:21,29,
3:45 PM-4:00 PM,12:42,26,
4:00 PM-4:15 PM,12:41,26,
4:15 PM-4:30 PM,13:54,24,
4:30 PM-4:45 PM,15:22,21,
4:45 PM-5:00 PM,16:14,20,
5:00 PM-5:15 PM,15:40,21,
5:15 PM-5:30 PM,16:21,20,
5:30 PM-5:45 PM,17:31,19,
5:45 PM-6:00 PM,17:37,19,
6:00 PM-6:15 PM,16:22,20,
6:15 PM-6:30 PM,14:38,23,
6:30 PM-6:45 PM,13:02,25,
6:45 PM-7:00 PM,11:50,28,
