Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,8:41,73,
5:15 AM-5:30 AM,8:46,72,
5:30 AM-5:45 AM,8:42,72,
5:45 AM-6:00 AM,8:47,72,
6:00 AM-6:15 AM,9:12,68,
6:15 AM-6:30 AM,10:36,59,
6:30 AM-6:45 AM,12:47,49,
6:45 AM-7:00 AM,15:24,41,
7:00 AM-7:15 AM,16:32,38,
7:15 AM-7:30 AM,19:38,32,
7:30 AM-7:45 AM,23:03,27,
7:45 AM-8:00 AM,25:26:00,25,
8:00 AM-8:15 AM,24:47:00,25,
8:15 AM-8:30 AM,22:58,27,
8:30 AM-8:45 AM,20:58,30,
8:45 AM-9:00 AM,18:39,34,
9:00 AM-9:15 AM,15:54,40,
9:15 AM-9:30 AM,13:26,47,
9:30 AM-9:45 AM,12:21,51,
9:45 AM-10:00 AM,11:45,54,
10:00 AM-10:15 AM,10:30,60,
10:15 AM-10:30 AM,9:56,63,
10:30 AM-10:45 AM,9:32,66,
10:45 AM-11:00 AM,9:26,67,
11:00 AM-11:15 AM,9:21,67,
11:15 AM-11:30 AM,9:21,67,
11:30 AM-11:45 AM,9:23,67,
11:45 AM-12:00 PM,9:16,68,
12:00 PM-12:15 PM,9:17,68,
12:15 PM-12:30 PM,9:15,68,
12:30 PM-12:45 PM,9:17,68,
12:45 PM-1:00 PM,9:16,68,
1:00 PM-1:15 PM,9:16,68,
1:15 PM-1:30 PM,9:16,68,
1:30 PM-1:45 PM,9:17,68,
1:45 PM-2:00 PM,9:15,68,
2:00 PM-2:15 PM,9:31,66,
2:15 PM-2:30 PM,9:30,66,
2:30 PM-2:45 PM,9:26,67,
2:45 PM-3:00 PM,9:26,67,
3:00 PM-3:15 PM,9:13,68,
3:15 PM-3:30 PM,9:22,67,
3:30 PM-3:45 PM,9:17,68,
3:45 PM-4:00 PM,9:17,68,
4:00 PM-4:15 PM,9:12,68,
4:15 PM-4:30 PM,9:09,69,
4:30 PM-4:45 PM,9:12,68,
4:45 PM-5:00 PM,9:10,69,
5:00 PM-5:15 PM,9:14,68,
5:15 PM-5:30 PM,9:12,68,
5:30 PM-5:45 PM,9:15,68,
5:45 PM-6:00 PM,9:21,67,
6:00 PM-6:15 PM,9:23,67,
6:15 PM-6:30 PM,9:22,67,
6:30 PM-6:45 PM,9:28,67,
6:45 PM-7:00 PM,9:18,68,
