Date,County,COV_S_bed,COV_S_ICU,COV_C_bed,COV_C_ICU,COV_Vent,Use_vent,Avail_ICU,Avail_Vent
5/1/2020,Austin,0,0,0,0,0,0,0,2
5/1/2020,Brazoria,6,0,4,0,1,2,15,42
5/1/2020,Chambers,1,0,0,0,0,0,0,2
5/1/2020,Fort Bend,14,3,15,9,11,34,48,83
5/1/2020,Galveston,3,1,52,16,9,28,23,88
5/1/2020,Harris,184,49,208,172,119,400,312,905
5/1/2020,Liberty,1,0,0,0,0,0,0,3
5/1/2020,Montgomery,15,5,14,6,4,46,36,73
5/2/2020,Austin,0,0,0,0,0,0,0,2
5/2/2020,Brazoria,4,2,3,0,0,3,15,42
5/2/2020,Chambers,0,0,0,0,0,0,0,2
5/2/2020,Fort Bend,4,1,8,5,5,28,47,60
5/2/2020,Galveston,3,1,47,15,9,33,21,88
5/2/2020,Harris,143,43,162,131,76,430,301,791
5/2/2020,Liberty,0,0,0,0,0,0,0,3
5/2/2020,Montgomery,1,3,9,5,4,45,45,87
5/3/2020,Austin,0,0,0,0,0,0,0,2
5/3/2020,Brazoria,6,2,4,0,0,3,15,42
5/3/2020,Chambers,0,0,0,0,0,2,0,0
5/3/2020,Fort Bend,5,5,13,13,10,32,48,72
5/3/2020,Galveston,3,1,53,12,8,28,12,89
5/3/2020,Harris,165,61,205,168,105,431,268,811
5/3/2020,Liberty,0,0,0,0,0,0,0,3
5/3/2020,Montgomery,7,3,5,9,5,43,54,87
5/4/2020,Austin,1,0,0,0,0,0,0,2
5/4/2020,Brazoria,10,1,6,0,0,6,2,30
5/4/2020,Chambers,0,0,0,0,0,0,0,2
5/4/2020,Fort Bend,15,2,15,15,8,36,40,82
5/4/2020,Galveston,3,1,70,18,11,9,6,62
5/4/2020,Harris,143,52,290,169,112,438,296,1099
5/4/2020,Liberty,0,0,0,0,0,0,0,3
5/4/2020,Montgomery,11,6,3,11,7,50,46,50
5/5/2020,Austin,1,0,0,0,0,0,0,2
5/5/2020,Brazoria,12,0,4,0,0,6,4,40
5/5/2020,Chambers,0,0,0,0,0,0,0,2
5/5/2020,Fort Bend,11,2,13,15,12,38,41,79
5/5/2020,Galveston,13,3,67,21,13,31,19,63
5/5/2020,Harris,189,49,211,171,102,388,225,817
5/5/2020,Liberty,0,0,0,0,0,0,0,3
5/5/2020,Montgomery,14,11,4,11,7,52,33,69
5/6/2020,Austin,0,0,0,0,0,0,0,2
5/6/2020,Brazoria,4,2,5,0,0,11,11,36
5/6/2020,Chambers,1,0,0,0,0,0,0,2
5/6/2020,Fort Bend,11,0,11,17,11,43,26,49
5/6/2020,Galveston,12,0,14,10,6,25,21,69
5/6/2020,Harris,164,42,226,169,122,425,265,827
5/6/2020,Liberty,0,0,0,0,0,0,0,3
5/6/2020,Montgomery,16,4,3,11,6,48,39,83
5/7/2020,Austin,,,,,,0,0,2
5/7/2020,Brazoria,5,2,3,0,0,5,4,29
5/7/2020,Chambers,0,0,0,0,0,0,0,2
5/7/2020,Fort Bend,7,3,14,14,10,36,40,74
5/7/2020,Galveston,9,0,14,12,7,27,5,67
5/7/2020,Harris,168,45,208,169,86,453,247,863
5/7/2020,Liberty,0,0,0,0,0,0,0,3
5/7/2020,Montgomery,20,3,2,11,5,48,40,81
5/8/2020,Austin,0,0,0,0,0,0,0,2
5/8/2020,Brazoria,3,0,3,1,1,5,9,42
5/8/2020,Chambers,1,0,0,0,0,0,0,2
5/8/2020,Fort Bend,10,1,14,13,10,38,43,81
5/8/2020,Galveston,3,1,19,10,28,11,42,42
5/8/2020,Harris,151,50,229,163,93,465,258,867
5/8/2020,Liberty,0,0,0,0,0,0,0,3
5/8/2020,Montgomery,25,4,8,7,4,58,34,73
5/9/2020,Austin,0,0,0,0,0,0,0,2
5/9/2020,Brazoria,1,1,2,1,0,11,8,33
5/9/2020,Chambers,1,0,0,0,0,0,0,2
5/9/2020,Fort Bend,6,3,14,13,11,41,52,67
5/9/2020,Galveston,6,1,15,8,5,5,26,20
5/9/2020,Harris,181,74,230,154,88,390,279,821
5/9/2020,Liberty,0,0,0,0,0,0,0,3
5/9/2020,Montgomery,23,2,8,8,3,45,34,76
5/10/2020,Austin,0,0,0,0,0,0,0,2
5/10/2020,Brazoria,1,3,2,1,0,6,4,29
5/10/2020,Chambers,0,0,0,0,0,0,0,2
5/10/2020,Fort Bend,15,1,20,11,10,63,56,44
5/10/2020,Galveston,5,1,1,3,0,57,2,74
5/10/2020,Harris,137,46,196,148,100,370,273,837
5/10/2020,Liberty,0,0,0,0,0,0,0,3
5/10/2020,Montgomery,14,4,9,6,3,44,41,76
5/11/2020,Austin,0,0,0,0,0,0,0,2
5/11/2020,Brazoria,6,1,1,1,0,6,1,40
5/11/2020,Chambers,0,0,0,0,0,0,0,2
5/11/2020,Fort Bend,5,3,19,11,9,39,46,86
5/11/2020,Galveston,4,1,11,9,5,25,21,66
5/11/2020,Harris,144,56,201,168,105,435,298,874
5/11/2020,Liberty,0,0,0,0,0,0,0,3
5/11/2020,Montgomery,7,0,11,6,3,49,45,79
5/12/2020,Austin,0,0,0,0,0,0,0,2
5/12/2020,Brazoria,7,0,4,0,0,4,5,44
5/12/2020,Chambers,1,0,0,0,0,0,0,2
5/12/2020,Fort Bend,8,1,18,7,7,41,48,90
5/12/2020,Galveston,7,1,14,9,5,27,20,64
5/12/2020,Harris,165,48,218,161,100,467,233,815
5/12/2020,Liberty,0,0,0,0,0,0,0,3
5/12/2020,Montgomery,11,2,13,7,3,37,36,75
5/13/2020,Austin,0,0,0,0,0,0,0,2
5/13/2020,Brazoria,5,0,7,0,0,3,7,43
5/13/2020,Chambers,0,0,0,0,0,0,0,2
5/13/2020,Fort Bend,10,3,15,8,8,36,44,81
5/13/2020,Galveston,1,7,12,5,5,39,27,48
5/13/2020,Harris,140,58,192,171,98,477,201,800
5/13/2020,Liberty,0,0,0,0,0,0,0,3
5/13/2020,Montgomery,18,6,11,3,3,39,27,68
5/14/2020,Austin,0,0,0,0,0,0,0,2
5/14/2020,Brazoria,4,1,4,2,0,6,12,37
5/14/2020,Chambers,0,0,0,0,0,0,0,2
5/14/2020,Fort Bend,5,1,15,8,8,32,28,46
5/14/2020,Galveston,17,11,13,12,7,30,6,81
5/14/2020,Harris,163,39,197,157,93,461,234,812
5/14/2020,Liberty,1,0,0,0,0,0,0,3
5/14/2020,Montgomery,22,4,7,6,3,48,42,83
5/15/2020,Austin,0,0,0,0,0,0,0,2
5/15/2020,Brazoria,5,1,6,4,0,6,6,39
5/15/2020,Chambers,1,0,0,0,0,0,0,2
5/15/2020,Fort Bend,12,2,14,9,7,37,54,80
5/15/2020,Galveston,2,2,62,25,19,32,23,65
5/15/2020,Harris,214,45,209,154,79,429,272,818
5/15/2020,Liberty,1,0,0,0,0,0,0,3
5/15/2020,Montgomery,17,5,10,6,2,48,41,79
5/16/2020,Brazoria,9,1,6,2,2,6,5,39
5/16/2020,Chambers,0,0,0,0,0,0,0,0
5/16/2020,Fort Bend,6,1,13,7,5,33,55,70
5/16/2020,Galveston,6,2,55,25,16,29,11,62
5/16/2020,Harris,126,41,182,155,82,480,248,782
5/16/2020,Liberty,0,0,0,0,0,0,0,3
5/16/2020,Montgomery,4,2,9,6,1,47,39,78
5/17/2020,Brazoria,9,2,5,4,0,32,5,1
5/17/2020,Chambers,0,0,0,0,0,2,0,0
5/17/2020,Fort Bend,8,1,13,7,6,19,59,60
5/17/2020,Galveston,8,2,59,28,18,47,2,0
5/17/2020,Harris,116,41,188,163,87,442,321,737
5/17/2020,Liberty,0,0,0,0,0,3,0,0
5/17/2020,Montgomery,4,2,7,6,1,42,41,88
5/18/2020,Brazoria,6,1,7,4,2,8,5,34
5/18/2020,Chambers,0,0,0,0,0,0,0,2
5/18/2020,Fort Bend,5,5,12,6,5,24,47,74
5/18/2020,Galveston,6,3,59,29,17,33,19,43
5/18/2020,Harris,127,55,207,177,84,471,190,700
5/18/2020,Liberty,0,0,0,0,0,0,0,3
5/18/2020,Montgomery,7,0,12,5,2,43,45,68
5/19/2020,Austin,,,,,,0,0,2
5/19/2020,Brazoria,9,3,7,5,4,9,2,36
5/19/2020,Chambers,0,0,0,0,0,0,0,2
5/19/2020,Fort Bend,7,7,13,8,3,26,43,89
5/19/2020,Galveston,12,1,52,29,18,34,17,44
5/19/2020,Harris,164,60,218,176,108,426,198,829
5/19/2020,Liberty,0,0,0,0,0,0,0,3
5/19/2020,Montgomery,25,3,11,6,3,39,25,86
5/20/2020,Brazoria,10,3,9,4,1,9,2,45
5/20/2020,Chambers,0,0,0,0,0,0,0,2
5/20/2020,Fort Bend,7,5,11,9,7,26,36,87
5/20/2020,Galveston,16,4,50,29,21,28,2,45
5/20/2020,Harris,170,47,193,207,104,495,215,917
5/20/2020,Liberty,0,0,0,0,0,0,0,3
5/20/2020,Montgomery,22,3,8,6,4,51,23,91
5/21/2020,Austin,0,0,0,0,0,0,0,2
5/21/2020,Brazoria,11,2,10,5,1,10,2,39
5/21/2020,Chambers,0,0,0,0,0,0,0,2
