Departure,Average,Ratio,Class
5:00AM,66,0.9850746268656716,1
5:15AM,67,1.0,1
5:30AM,67,1.0,1
5:45AM,65,0.9701492537313433,1
6:00AM,65,0.9701492537313433,1
6:15AM,64,0.9552238805970149,1
6:30AM,59,0.8805970149253731,1
6:45AM,53,0.7910447761194029,1
7:00AM,51,0.7611940298507462,1
7:15AM,46,0.6865671641791045,1.33
7:30AM,41,0.6119402985074627,1.33
7:45AM,37,0.5522388059701493,1.33
8:00AM,37,0.5522388059701493,1.33
8:15AM,37,0.5522388059701493,1.33
8:30AM,37,0.5522388059701493,1.33
8:45AM,38,0.5671641791044776,1.33
9:00AM,42,0.6268656716417911,1.33
9:15AM,48,0.7164179104477612,1.33
9:30AM,53,0.7910447761194029,1
9:45AM,58,0.8656716417910447,1
10:00AM,61,0.9104477611940298,1
10:15AM,63,0.9402985074626866,1
10:30AM,63,0.9402985074626866,1
10:45AM,63,0.9402985074626866,1
11:00AM,64,0.9552238805970149,1
11:15AM,63,0.9402985074626866,1
11:30AM,63,0.9402985074626866,1
11:45AM,63,0.9402985074626866,1
12:00PM,63,0.9402985074626866,1
12:15PM,62,0.9253731343283582,1
12:30PM,62,0.9253731343283582,1
12:45PM,62,0.9253731343283582,1
1:00PM,63,0.9402985074626866,1
1:15PM,63,0.9402985074626866,1
1:30PM,63,0.9402985074626866,1
1:45PM,63,0.9402985074626866,1
2:00PM,63,0.9402985074626866,1
2:15PM,62,0.9253731343283582,1
2:30PM,62,0.9253731343283582,1
2:45PM,60,0.8955223880597015,1
3:00PM,59,0.8805970149253731,1
3:15PM,57,0.8507462686567164,1
3:30PM,54,0.8059701492537313,1
3:45PM,50,0.746268656716418,1.33
4:00PM,46,0.6865671641791045,1.33
4:15PM,39,0.582089552238806,1.33
4:30PM,34,0.5074626865671642,1.33
4:45PM,32,0.47761194029850745,2
5:00PM,31,0.4626865671641791,2
5:15PM,29,0.43283582089552236,2
5:30PM,28,0.417910447761194,2
5:45PM,29,0.43283582089552236,2
6:00PM,33,0.4925373134328358,2
6:15PM,37,0.5522388059701493,1.33
6:30PM,43,0.6417910447761194,1.33
6:45PM,52,0.7761194029850746,1
