Departure,Average,Ratio,Class
5:00AM,66,1.0,1
5:15AM,65,0.9848484848484849,1
5:30AM,61,0.9242424242424242,1
5:45AM,54,0.8181818181818182,1
6:00AM,48,0.7272727272727273,1.33
6:15AM,38,0.5757575757575758,1.33
6:30AM,32,0.48484848484848486,2
6:45AM,31,0.4696969696969697,2
7:00AM,30,0.45454545454545453,2
7:15AM,27,0.4090909090909091,2
7:30AM,25,0.3787878787878788,2
7:45AM,26,0.3939393939393939,2
8:00AM,29,0.4393939393939394,2
8:15AM,31,0.4696969696969697,2
8:30AM,34,0.5151515151515151,1.33
8:45AM,37,0.5606060606060606,1.33
9:00AM,42,0.6363636363636364,1.33
9:15AM,46,0.696969696969697,1.33
9:30AM,47,0.7121212121212122,1.33
9:45AM,47,0.7121212121212122,1.33
10:00AM,50,0.7575757575757576,1
10:15AM,51,0.7727272727272727,1
10:30AM,51,0.7727272727272727,1
10:45AM,51,0.7727272727272727,1
11:00AM,51,0.7727272727272727,1
11:15AM,51,0.7727272727272727,1
11:30AM,50,0.7575757575757576,1
11:45AM,49,0.7424242424242424,1.33
12:00PM,49,0.7424242424242424,1.33
12:15PM,49,0.7424242424242424,1.33
12:30PM,48,0.7272727272727273,1.33
12:45PM,48,0.7272727272727273,1.33
1:00PM,48,0.7272727272727273,1.33
1:15PM,47,0.7121212121212122,1.33
1:30PM,48,0.7272727272727273,1.33
1:45PM,48,0.7272727272727273,1.33
2:00PM,49,0.7424242424242424,1.33
2:15PM,46,0.696969696969697,1.33
2:30PM,43,0.6515151515151515,1.33
2:45PM,43,0.6515151515151515,1.33
3:00PM,44,0.6666666666666666,1.33
3:15PM,42,0.6363636363636364,1.33
3:30PM,40,0.6060606060606061,1.33
3:45PM,36,0.5454545454545454,1.33
4:00PM,35,0.5303030303030303,1.33
4:15PM,32,0.48484848484848486,2
4:30PM,32,0.48484848484848486,2
4:45PM,32,0.48484848484848486,2
5:00PM,32,0.48484848484848486,2
5:15PM,29,0.4393939393939394,2
5:30PM,28,0.42424242424242425,2
5:45PM,27,0.4090909090909091,2
6:00PM,29,0.4393939393939394,2
6:15PM,31,0.4696969696969697,2
6:30PM,35,0.5303030303030303,1.33
6:45PM,38,0.5757575757575758,1.33
