Departure,Average,Ratio,Class
5:00AM,74,0.9736842105263158,1
5:15AM,76,1.0,1
5:30AM,75,0.9868421052631579,1
5:45AM,74,0.9736842105263158,1
6:00AM,73,0.9605263157894737,1
6:15AM,72,0.9473684210526315,1
6:30AM,71,0.9342105263157895,1
6:45AM,71,0.9342105263157895,1
7:00AM,70,0.9210526315789473,1
7:15AM,68,0.8947368421052632,1
7:30AM,68,0.8947368421052632,1
7:45AM,66,0.868421052631579,1
8:00AM,65,0.8552631578947368,1
8:15AM,65,0.8552631578947368,1
8:30AM,65,0.8552631578947368,1
8:45AM,68,0.8947368421052632,1
9:00AM,69,0.9078947368421053,1
9:15AM,68,0.8947368421052632,1
9:30AM,69,0.9078947368421053,1
9:45AM,69,0.9078947368421053,1
10:00AM,67,0.881578947368421,1
10:15AM,67,0.881578947368421,1
10:30AM,65,0.8552631578947368,1
10:45AM,69,0.9078947368421053,1
11:00AM,69,0.9078947368421053,1
11:15AM,69,0.9078947368421053,1
11:30AM,68,0.8947368421052632,1
11:45AM,69,0.9078947368421053,1
12:00PM,69,0.9078947368421053,1
12:15PM,69,0.9078947368421053,1
12:30PM,68,0.8947368421052632,1
12:45PM,68,0.8947368421052632,1
1:00PM,69,0.9078947368421053,1
1:15PM,69,0.9078947368421053,1
1:30PM,69,0.9078947368421053,1
1:45PM,69,0.9078947368421053,1
2:00PM,69,0.9078947368421053,1
2:15PM,68,0.8947368421052632,1
2:30PM,67,0.881578947368421,1
2:45PM,68,0.8947368421052632,1
3:00PM,68,0.8947368421052632,1
3:15PM,68,0.8947368421052632,1
3:30PM,67,0.881578947368421,1
3:45PM,66,0.868421052631579,1
4:00PM,66,0.868421052631579,1
4:15PM,64,0.8421052631578947,1
4:30PM,62,0.8157894736842105,1
4:45PM,59,0.7763157894736842,1
5:00PM,56,0.7368421052631579,1.33
5:15PM,51,0.6710526315789473,1.33
5:30PM,50,0.6578947368421053,1.33
5:45PM,53,0.6973684210526315,1.33
6:00PM,58,0.7631578947368421,1
6:15PM,61,0.8026315789473685,1
6:30PM,65,0.8552631578947368,1
6:45PM,68,0.8947368421052632,1
