Departure,Average,Ratio,Class
5:00AM,66,1.0,1
5:15AM,62,0.9393939393939394,1
5:30AM,55,0.8333333333333334,1
5:45AM,49,0.7424242424242424,1.33
6:00AM,43,0.6515151515151515,1.33
6:15AM,38,0.5757575757575758,1.33
6:30AM,32,0.48484848484848486,2
6:45AM,30,0.45454545454545453,2
7:00AM,29,0.4393939393939394,2
7:15AM,26,0.3939393939393939,2
7:30AM,23,0.3484848484848485,2
7:45AM,22,0.3333333333333333,2
8:00AM,23,0.3484848484848485,2
8:15AM,24,0.36363636363636365,2
8:30AM,25,0.3787878787878788,2
8:45AM,27,0.4090909090909091,2
9:00AM,31,0.4696969696969697,2
9:15AM,35,0.5303030303030303,1.33
9:30AM,37,0.5606060606060606,1.33
9:45AM,42,0.6363636363636364,1.33
10:00AM,47,0.7121212121212122,1.33
10:15AM,50,0.7575757575757576,1
10:30AM,52,0.7878787878787878,1
10:45AM,53,0.803030303030303,1
11:00AM,53,0.803030303030303,1
11:15AM,51,0.7727272727272727,1
11:30AM,51,0.7727272727272727,1
11:45AM,49,0.7424242424242424,1.33
12:00PM,51,0.7727272727272727,1
12:15PM,50,0.7575757575757576,1
12:30PM,48,0.7272727272727273,1.33
12:45PM,48,0.7272727272727273,1.33
1:00PM,47,0.7121212121212122,1.33
1:15PM,46,0.696969696969697,1.33
1:30PM,46,0.696969696969697,1.33
1:45PM,46,0.696969696969697,1.33
2:00PM,47,0.7121212121212122,1.33
2:15PM,49,0.7424242424242424,1.33
2:30PM,48,0.7272727272727273,1.33
2:45PM,48,0.7272727272727273,1.33
3:00PM,49,0.7424242424242424,1.33
3:15PM,46,0.696969696969697,1.33
3:30PM,46,0.696969696969697,1.33
3:45PM,44,0.6666666666666666,1.33
4:00PM,44,0.6666666666666666,1.33
4:15PM,44,0.6666666666666666,1.33
4:30PM,43,0.6515151515151515,1.33
4:45PM,43,0.6515151515151515,1.33
5:00PM,43,0.6515151515151515,1.33
5:15PM,39,0.5909090909090909,1.33
5:30PM,39,0.5909090909090909,1.33
5:45PM,40,0.6060606060606061,1.33
6:00PM,41,0.6212121212121212,1.33
6:15PM,42,0.6363636363636364,1.33
6:30PM,43,0.6515151515151515,1.33
6:45PM,45,0.6818181818181818,1.33
