Departure,Average,Ratio,Class
5:00AM,64,1.0,1
5:15AM,64,1.0,1
5:30AM,62,0.96875,1
5:45AM,62,0.96875,1
6:00AM,61,0.953125,1
6:15AM,56,0.875,1
6:30AM,50,0.78125,1
6:45AM,46,0.71875,1.33
7:00AM,47,0.734375,1.33
7:15AM,45,0.703125,1.33
7:30AM,42,0.65625,1.33
7:45AM,40,0.625,1.33
8:00AM,40,0.625,1.33
8:15AM,43,0.671875,1.33
8:30AM,43,0.671875,1.33
8:45AM,46,0.71875,1.33
9:00AM,50,0.78125,1
9:15AM,52,0.8125,1
9:30AM,51,0.796875,1
9:45AM,51,0.796875,1
10:00AM,52,0.8125,1
10:15AM,55,0.859375,1
10:30AM,55,0.859375,1
10:45AM,56,0.875,1
11:00AM,56,0.875,1
11:15AM,55,0.859375,1
11:30AM,56,0.875,1
11:45AM,56,0.875,1
12:00PM,55,0.859375,1
12:15PM,54,0.84375,1
12:30PM,53,0.828125,1
12:45PM,52,0.8125,1
1:00PM,52,0.8125,1
1:15PM,51,0.796875,1
1:30PM,52,0.8125,1
1:45PM,51,0.796875,1
2:00PM,52,0.8125,1
2:15PM,51,0.796875,1
2:30PM,50,0.78125,1
2:45PM,48,0.75,1.33
3:00PM,48,0.75,1.33
3:15PM,47,0.734375,1.33
3:30PM,45,0.703125,1.33
3:45PM,45,0.703125,1.33
4:00PM,44,0.6875,1.33
4:15PM,42,0.65625,1.33
4:30PM,41,0.640625,1.33
4:45PM,40,0.625,1.33
5:00PM,39,0.609375,1.33
5:15PM,38,0.59375,1.33
5:30PM,39,0.609375,1.33
5:45PM,39,0.609375,1.33
6:00PM,41,0.640625,1.33
6:15PM,41,0.640625,1.33
6:30PM,43,0.671875,1.33
6:45PM,45,0.703125,1.33
