Departure,Average,Ratio,Class
5:00AM,62,0.9841269841269841,1
5:15AM,63,1.0,1
5:30AM,63,1.0,1
5:45AM,62,0.9841269841269841,1
6:00AM,62,0.9841269841269841,1
6:15AM,61,0.9682539682539683,1
6:30AM,58,0.9206349206349206,1
6:45AM,54,0.8571428571428571,1
7:00AM,53,0.8412698412698413,1
7:15AM,50,0.7936507936507936,1
7:30AM,47,0.746031746031746,1.33
7:45AM,46,0.7301587301587301,1.33
8:00AM,45,0.7142857142857143,1.33
8:15AM,48,0.7619047619047619,1
8:30AM,50,0.7936507936507936,1
8:45AM,51,0.8095238095238095,1
9:00AM,53,0.8412698412698413,1
9:15AM,54,0.8571428571428571,1
9:30AM,53,0.8412698412698413,1
9:45AM,54,0.8571428571428571,1
10:00AM,57,0.9047619047619048,1
10:15AM,56,0.8888888888888888,1
10:30AM,56,0.8888888888888888,1
10:45AM,55,0.873015873015873,1
11:00AM,56,0.8888888888888888,1
11:15AM,57,0.9047619047619048,1
11:30AM,54,0.8571428571428571,1
11:45AM,54,0.8571428571428571,1
12:00PM,52,0.8253968253968254,1
12:15PM,52,0.8253968253968254,1
12:30PM,52,0.8253968253968254,1
12:45PM,49,0.7777777777777778,1
1:00PM,50,0.7936507936507936,1
1:15PM,51,0.8095238095238095,1
1:30PM,49,0.7777777777777778,1
1:45PM,50,0.7936507936507936,1
2:00PM,51,0.8095238095238095,1
2:15PM,48,0.7619047619047619,1
2:30PM,47,0.746031746031746,1.33
2:45PM,46,0.7301587301587301,1.33
3:00PM,45,0.7142857142857143,1.33
3:15PM,41,0.6507936507936508,1.33
3:30PM,39,0.6190476190476191,1.33
3:45PM,36,0.5714285714285714,1.33
4:00PM,34,0.5396825396825397,1.33
4:15PM,32,0.5079365079365079,1.33
4:30PM,30,0.47619047619047616,2
4:45PM,29,0.4603174603174603,2
5:00PM,28,0.4444444444444444,2
5:15PM,26,0.4126984126984127,2
5:30PM,25,0.3968253968253968,2
5:45PM,26,0.4126984126984127,2
6:00PM,28,0.4444444444444444,2
6:15PM,31,0.49206349206349204,2
6:30PM,35,0.5555555555555556,1.33
6:45PM,41,0.6507936507936508,1.33
