Departure,Average,Ratio,Class
5:00AM,64,1.0,1
5:15AM,64,1.0,1
5:30AM,63,0.984375,1
5:45AM,62,0.96875,1
6:00AM,59,0.921875,1
6:15AM,49,0.765625,1
6:30AM,42,0.65625,1.33
6:45AM,39,0.609375,1.33
7:00AM,39,0.609375,1.33
7:15AM,36,0.5625,1.33
7:30AM,33,0.515625,1.33
7:45AM,31,0.484375,2
8:00AM,32,0.5,2
8:15AM,32,0.5,2
8:30AM,31,0.484375,2
8:45AM,31,0.484375,2
9:00AM,33,0.515625,1.33
9:15AM,36,0.5625,1.33
9:30AM,37,0.578125,1.33
9:45AM,38,0.59375,1.33
10:00AM,40,0.625,1.33
10:15AM,43,0.671875,1.33
10:30AM,44,0.6875,1.33
10:45AM,44,0.6875,1.33
11:00AM,44,0.6875,1.33
11:15AM,44,0.6875,1.33
11:30AM,43,0.671875,1.33
11:45AM,42,0.65625,1.33
12:00PM,43,0.671875,1.33
12:15PM,43,0.671875,1.33
12:30PM,42,0.65625,1.33
12:45PM,40,0.625,1.33
1:00PM,41,0.640625,1.33
1:15PM,41,0.640625,1.33
1:30PM,41,0.640625,1.33
1:45PM,42,0.65625,1.33
2:00PM,45,0.703125,1.33
2:15PM,43,0.671875,1.33
2:30PM,41,0.640625,1.33
2:45PM,40,0.625,1.33
3:00PM,39,0.609375,1.33
3:15PM,37,0.578125,1.33
3:30PM,36,0.5625,1.33
3:45PM,33,0.515625,1.33
4:00PM,32,0.5,2
4:15PM,27,0.421875,2
4:30PM,25,0.390625,2
4:45PM,25,0.390625,2
5:00PM,25,0.390625,2
5:15PM,24,0.375,2
5:30PM,23,0.359375,2
5:45PM,24,0.375,2
6:00PM,25,0.390625,2
6:15PM,27,0.421875,2
6:30PM,29,0.453125,2
6:45PM,32,0.5,2
