Departure,Average,Ratio,Class
5:00AM,62,0.9841269841269841,1
5:15AM,63,1.0,1
5:30AM,63,1.0,1
5:45AM,62,0.9841269841269841,1
6:00AM,60,0.9523809523809523,1
6:15AM,55,0.873015873015873,1
6:30AM,48,0.7619047619047619,1
6:45AM,42,0.6666666666666666,1.33
7:00AM,40,0.6349206349206349,1.33
7:15AM,35,0.5555555555555556,1.33
7:30AM,30,0.47619047619047616,2
7:45AM,27,0.42857142857142855,2
8:00AM,29,0.4603174603174603,2
8:15AM,31,0.49206349206349204,2
8:30AM,33,0.5238095238095238,1.33
8:45AM,34,0.5396825396825397,1.33
9:00AM,39,0.6190476190476191,1.33
9:15AM,43,0.6825396825396826,1.33
9:30AM,45,0.7142857142857143,1.33
9:45AM,46,0.7301587301587301,1.33
10:00AM,49,0.7777777777777778,1
10:15AM,51,0.8095238095238095,1
10:30AM,52,0.8253968253968254,1
10:45AM,51,0.8095238095238095,1
11:00AM,51,0.8095238095238095,1
11:15AM,48,0.7619047619047619,1
11:30AM,46,0.7301587301587301,1.33
11:45AM,47,0.746031746031746,1.33
12:00PM,46,0.7301587301587301,1.33
12:15PM,44,0.6984126984126984,1.33
12:30PM,42,0.6666666666666666,1.33
12:45PM,42,0.6666666666666666,1.33
1:00PM,43,0.6825396825396826,1.33
1:15PM,41,0.6507936507936508,1.33
1:30PM,41,0.6507936507936508,1.33
1:45PM,40,0.6349206349206349,1.33
2:00PM,40,0.6349206349206349,1.33
2:15PM,37,0.5873015873015873,1.33
2:30PM,36,0.5714285714285714,1.33
2:45PM,33,0.5238095238095238,1.33
3:00PM,32,0.5079365079365079,1.33
3:15PM,30,0.47619047619047616,2
3:30PM,28,0.4444444444444444,2
3:45PM,25,0.3968253968253968,2
4:00PM,24,0.38095238095238093,2
4:15PM,21,0.3333333333333333,2
4:30PM,20,0.31746031746031744,2
4:45PM,20,0.31746031746031744,2
5:00PM,19,0.30158730158730157,2
5:15PM,19,0.30158730158730157,2
5:30PM,17,0.2698412698412698,2
5:45PM,19,0.30158730158730157,2
6:00PM,22,0.3492063492063492,2
6:15PM,24,0.38095238095238093,2
6:30PM,26,0.4126984126984127,2
6:45PM,31,0.49206349206349204,2
