Departure,Average,Ratio,Class
5:00AM,68,1.0,1
5:15AM,68,1.0,1
5:30AM,67,0.9852941176470589,1
5:45AM,67,0.9852941176470589,1
6:00AM,65,0.9558823529411765,1
6:15AM,59,0.8676470588235294,1
6:30AM,55,0.8088235294117647,1
6:45AM,55,0.8088235294117647,1
7:00AM,55,0.8088235294117647,1
7:15AM,52,0.7647058823529411,1
7:30AM,52,0.7647058823529411,1
7:45AM,54,0.7941176470588235,1
8:00AM,55,0.8088235294117647,1
8:15AM,58,0.8529411764705882,1
8:30AM,60,0.8823529411764706,1
8:45AM,60,0.8823529411764706,1
9:00AM,59,0.8676470588235294,1
9:15AM,60,0.8823529411764706,1
9:30AM,60,0.8823529411764706,1
9:45AM,61,0.8970588235294118,1
10:00AM,60,0.8823529411764706,1
10:15AM,61,0.8970588235294118,1
10:30AM,61,0.8970588235294118,1
10:45AM,61,0.8970588235294118,1
11:00AM,60,0.8823529411764706,1
11:15AM,61,0.8970588235294118,1
11:30AM,60,0.8823529411764706,1
11:45AM,60,0.8823529411764706,1
12:00PM,60,0.8823529411764706,1
12:15PM,60,0.8823529411764706,1
12:30PM,60,0.8823529411764706,1
12:45PM,60,0.8823529411764706,1
1:00PM,60,0.8823529411764706,1
1:15PM,60,0.8823529411764706,1
1:30PM,60,0.8823529411764706,1
1:45PM,60,0.8823529411764706,1
2:00PM,59,0.8676470588235294,1
2:15PM,58,0.8529411764705882,1
2:30PM,58,0.8529411764705882,1
2:45PM,56,0.8235294117647058,1
3:00PM,53,0.7794117647058824,1
3:15PM,52,0.7647058823529411,1
3:30PM,51,0.75,1.33
3:45PM,47,0.6911764705882353,1.33
4:00PM,45,0.6617647058823529,1.33
4:15PM,40,0.5882352941176471,1.33
4:30PM,37,0.5441176470588235,1.33
4:45PM,32,0.47058823529411764,2
5:00PM,31,0.45588235294117646,2
5:15PM,26,0.38235294117647056,2
5:30PM,26,0.38235294117647056,2
5:45PM,28,0.4117647058823529,2
6:00PM,32,0.47058823529411764,2
6:15PM,36,0.5294117647058824,1.33
6:30PM,44,0.6470588235294118,1.33
6:45PM,51,0.75,1.33
