Departure,Average,Ratio,Class
5:00AM,64,1.0,1
5:15AM,63,0.984375,1
5:30AM,62,0.96875,1
5:45AM,61,0.953125,1
6:00AM,58,0.90625,1
6:15AM,57,0.890625,1
6:30AM,56,0.875,1
6:45AM,55,0.859375,1
7:00AM,56,0.875,1
7:15AM,57,0.890625,1
7:30AM,58,0.90625,1
7:45AM,57,0.890625,1
8:00AM,57,0.890625,1
8:15AM,58,0.90625,1
8:30AM,58,0.90625,1
8:45AM,58,0.90625,1
9:00AM,57,0.890625,1
9:15AM,57,0.890625,1
9:30AM,57,0.890625,1
9:45AM,57,0.890625,1
10:00AM,57,0.890625,1
10:15AM,57,0.890625,1
10:30AM,57,0.890625,1
10:45AM,57,0.890625,1
11:00AM,57,0.890625,1
11:15AM,57,0.890625,1
11:30AM,57,0.890625,1
11:45AM,57,0.890625,1
12:00PM,57,0.890625,1
12:15PM,56,0.875,1
12:30PM,56,0.875,1
12:45PM,55,0.859375,1
1:00PM,54,0.84375,1
1:15PM,55,0.859375,1
1:30PM,55,0.859375,1
1:45PM,55,0.859375,1
2:00PM,55,0.859375,1
2:15PM,54,0.84375,1
2:30PM,53,0.828125,1
2:45PM,52,0.8125,1
3:00PM,50,0.78125,1
3:15PM,46,0.71875,1.33
3:30PM,43,0.671875,1.33
3:45PM,42,0.65625,1.33
4:00PM,40,0.625,1.33
4:15PM,36,0.5625,1.33
4:30PM,32,0.5,2
4:45PM,30,0.46875,2
5:00PM,29,0.453125,2
5:15PM,28,0.4375,2
5:30PM,27,0.421875,2
5:45PM,28,0.4375,2
6:00PM,29,0.453125,2
6:15PM,33,0.515625,1.33
6:30PM,37,0.578125,1.33
6:45PM,43,0.671875,1.33
