Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,24:40:00,65,
5:15 AM-5:30 AM,24:42:00,65,
5:30 AM-5:45 AM,25:03:00,64,
5:45 AM-6:00 AM,25:39:00,63,
6:00 AM-6:15 AM,26:02:00,62,
6:15 AM-6:30 AM,26:59:00,60,
6:30 AM-6:45 AM,27:27:00,59,
6:45 AM-7:00 AM,28:18:00,57,
7:00 AM-7:15 AM,27:30:00,59,
7:15 AM-7:30 AM,27:04:00,60,
7:30 AM-7:45 AM,27:24:00,59,
7:45 AM-8:00 AM,27:56:00,58,
8:00 AM-8:15 AM,27:12:00,59,
8:15 AM-8:30 AM,26:31:00,61,
8:30 AM-8:45 AM,26:18:00,61,
8:45 AM-9:00 AM,26:10:00,62,
9:00 AM-9:15 AM,26:10:00,62,
9:15 AM-9:30 AM,25:54:00,62,
9:30 AM-9:45 AM,25:58:00,62,
9:45 AM-10:00 AM,25:57:00,62,
10:00 AM-10:15 AM,25:53:00,62,
10:15 AM-10:30 AM,25:51:00,62,
10:30 AM-10:45 AM,25:49:00,63,
10:45 AM-11:00 AM,25:47:00,63,
11:00 AM-11:15 AM,25:51:00,62,
11:15 AM-11:30 AM,25:58:00,62,
11:30 AM-11:45 AM,25:52:00,62,
11:45 AM-12:00 PM,26:13:00,62,
12:00 PM-12:15 PM,26:25:00,61,
12:15 PM-12:30 PM,26:49:00,60,
12:30 PM-12:45 PM,26:24:00,61,
12:45 PM-1:00 PM,25:51:00,62,
1:00 PM-1:15 PM,26:10:00,62,
1:15 PM-1:30 PM,26:15:00,61,
1:30 PM-1:45 PM,26:10:00,62,
1:45 PM-2:00 PM,25:55:00,62,
2:00 PM-2:15 PM,26:06:00,62,
2:15 PM-2:30 PM,25:52:00,62,
2:30 PM-2:45 PM,25:46:00,63,
2:45 PM-3:00 PM,25:45:00,63,
3:00 PM-3:15 PM,25:59:00,62,
3:15 PM-3:30 PM,26:18:00,61,
3:30 PM-3:45 PM,26:16:00,61,
3:45 PM-4:00 PM,26:51:00,60,
4:00 PM-4:15 PM,27:30:00,59,
4:15 PM-4:30 PM,29:47:00,54,
4:30 PM-4:45 PM,30:49:00,52,
4:45 PM-5:00 PM,32:02:00,50,
5:00 PM-5:15 PM,33:12:00,49,
5:15 PM-5:30 PM,33:51:00,48,
5:30 PM-5:45 PM,34:30:00,47,
5:45 PM-6:00 PM,33:12:00,49,
6:00 PM-6:15 PM,30:48:00,52,
6:15 PM-6:30 PM,29:11:00,55,
6:30 PM-6:45 PM,27:27:00,59,
6:45 PM-7:00 PM,26:13:00,62,
