Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,16:41,64,
5:15 AM-5:30 AM,16:22,66,
5:30 AM-5:45 AM,16:24,65,
5:45 AM-6:00 AM,16:26,65,
6:00 AM-6:15 AM,16:41,64,
6:15 AM-6:30 AM,17:43,61,
6:30 AM-6:45 AM,20:29,52,
6:45 AM-7:00 AM,23:27,46,
7:00 AM-7:15 AM,24:40:00,44,
7:15 AM-7:30 AM,26:01:00,41,
7:30 AM-7:45 AM,27:13:00,39,
7:45 AM-8:00 AM,27:08:00,40,
8:00 AM-8:15 AM,25:26:00,42,
8:15 AM-8:30 AM,23:15,46,
8:30 AM-8:45 AM,21:35,50,
8:45 AM-9:00 AM,20:09,53,
9:00 AM-9:15 AM,18:46,57,
9:15 AM-9:30 AM,18:09,59,
9:30 AM-9:45 AM,17:44,61,
9:45 AM-10:00 AM,17:36,61,
10:00 AM-10:15 AM,17:20,62,
10:15 AM-10:30 AM,17:24,62,
10:30 AM-10:45 AM,17:22,62,
10:45 AM-11:00 AM,17:32,61,
11:00 AM-11:15 AM,17:29,61,
11:15 AM-11:30 AM,17:14,62,
11:30 AM-11:45 AM,17:32,61,
11:45 AM-12:00 PM,17:27,62,
12:00 PM-12:15 PM,17:25,62,
12:15 PM-12:30 PM,17:18,62,
12:30 PM-12:45 PM,17:24,62,
12:45 PM-1:00 PM,17:23,62,
1:00 PM-1:15 PM,17:18,62,
1:15 PM-1:30 PM,17:33,61,
1:30 PM-1:45 PM,17:52,60,
1:45 PM-2:00 PM,17:34,61,
2:00 PM-2:15 PM,17:58,60,
2:15 PM-2:30 PM,18:08,59,
2:30 PM-2:45 PM,18:37,58,
2:45 PM-3:00 PM,18:33,58,
3:00 PM-3:15 PM,18:30,58,
3:15 PM-3:30 PM,19:05,56,
3:30 PM-3:45 PM,19:50,54,
3:45 PM-4:00 PM,21:17,50,
4:00 PM-4:15 PM,21:50,49,
4:15 PM-4:30 PM,23:44,45,
4:30 PM-4:45 PM,25:08:00,43,
4:45 PM-5:00 PM,26:16:00,41,
5:00 PM-5:15 PM,26:44:00,40,
5:15 PM-5:30 PM,28:26:00,38,
5:30 PM-5:45 PM,28:36:00,38,
5:45 PM-6:00 PM,26:51:00,40,
6:00 PM-6:15 PM,24:13:00,44,
6:15 PM-6:30 PM,22:45,47,
6:30 PM-6:45 PM,21:21,50,
6:45 PM-7:00 PM,19:56,54,
