Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,22:01,64,
5:15 AM-5:30 AM,21:34,65,
5:30 AM-5:45 AM,21:32,65,
5:45 AM-6:00 AM,21:32,65,
6:00 AM-6:15 AM,21:52,64,
6:15 AM-6:30 AM,22:21,63,
6:30 AM-6:45 AM,22:18,63,
6:45 AM-7:00 AM,23:42,59,
7:00 AM-7:15 AM,25:19:00,55,
7:15 AM-7:30 AM,27:57:00,50,
7:30 AM-7:45 AM,30:59:00,45,
7:45 AM-8:00 AM,31:05:00,45,
8:00 AM-8:15 AM,29:41:00,47,
8:15 AM-8:30 AM,27:58:00,50,
8:30 AM-8:45 AM,26:06:00,54,
8:45 AM-9:00 AM,24:31:00,57,
9:00 AM-9:15 AM,23:06,61,
9:15 AM-9:30 AM,23:09,61,
9:30 AM-9:45 AM,22:31,62,
9:45 AM-10:00 AM,22:45,62,
10:00 AM-10:15 AM,23:03,61,
10:15 AM-10:30 AM,22:57,61,
10:30 AM-10:45 AM,23:08,61,
10:45 AM-11:00 AM,22:47,62,
11:00 AM-11:15 AM,22:35,62,
11:15 AM-11:30 AM,22:13,63,
11:30 AM-11:45 AM,22:49,62,
11:45 AM-12:00 PM,22:12,63,
12:00 PM-12:15 PM,22:32,62,
12:15 PM-12:30 PM,22:35,62,
12:30 PM-12:45 PM,22:36,62,
12:45 PM-1:00 PM,22:56,61,
1:00 PM-1:15 PM,22:47,62,
1:15 PM-1:30 PM,22:21,63,
1:30 PM-1:45 PM,23:15,60,
1:45 PM-2:00 PM,22:36,62,
2:00 PM-2:15 PM,22:29,62,
2:15 PM-2:30 PM,22:47,62,
2:30 PM-2:45 PM,22:19,63,
2:45 PM-3:00 PM,22:47,62,
3:00 PM-3:15 PM,23:24,60,
3:15 PM-3:30 PM,22:20,63,
3:30 PM-3:45 PM,22:50,61,
3:45 PM-4:00 PM,23:30,60,
4:00 PM-4:15 PM,24:08:00,58,
4:15 PM-4:30 PM,25:17:00,56,
4:30 PM-4:45 PM,25:59:00,54,
4:45 PM-5:00 PM,26:26:00,53,
5:00 PM-5:15 PM,27:05:00,52,
5:15 PM-5:30 PM,27:28:00,51,
5:30 PM-5:45 PM,27:54:00,50,
5:45 PM-6:00 PM,27:50:00,50,
6:00 PM-6:15 PM,26:55:00,52,
6:15 PM-6:30 PM,25:54:00,54,
6:30 PM-6:45 PM,24:53:00,56,
6:45 PM-7:00 PM,23:31,60,
