Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,22:13,63,
5:15 AM-5:30 AM,21:59,64,
5:30 AM-5:45 AM,22:17,63,
5:45 AM-6:00 AM,22:09,63,
6:00 AM-6:15 AM,22:37,62,
6:15 AM-6:30 AM,22:51,61,
6:30 AM-6:45 AM,23:00,61,
6:45 AM-7:00 AM,23:09,61,
7:00 AM-7:15 AM,23:14,60,
7:15 AM-7:30 AM,23:56,59,
7:30 AM-7:45 AM,25:15:00,56,
7:45 AM-8:00 AM,26:11:00,54,
8:00 AM-8:15 AM,25:19:00,55,
8:15 AM-8:30 AM,24:19:00,58,
8:30 AM-8:45 AM,24:00:00,58,
8:45 AM-9:00 AM,23:35,60,
9:00 AM-9:15 AM,23:14,60,
9:15 AM-9:30 AM,22:53,61,
9:30 AM-9:45 AM,22:49,62,
9:45 AM-10:00 AM,22:55,61,
10:00 AM-10:15 AM,22:57,61,
10:15 AM-10:30 AM,23:03,61,
10:30 AM-10:45 AM,22:51,61,
10:45 AM-11:00 AM,22:49,62,
11:00 AM-11:15 AM,22:49,62,
11:15 AM-11:30 AM,22:57,61,
11:30 AM-11:45 AM,22:48,62,
11:45 AM-12:00 PM,22:45,62,
12:00 PM-12:15 PM,22:43,62,
12:15 PM-12:30 PM,22:42,62,
12:30 PM-12:45 PM,22:42,62,
12:45 PM-1:00 PM,22:41,62,
1:00 PM-1:15 PM,22:34,62,
1:15 PM-1:30 PM,22:46,62,
1:30 PM-1:45 PM,22:45,62,
1:45 PM-2:00 PM,22:42,62,
2:00 PM-2:15 PM,22:33,62,
2:15 PM-2:30 PM,22:38,62,
2:30 PM-2:45 PM,22:46,62,
2:45 PM-3:00 PM,22:46,62,
3:00 PM-3:15 PM,22:50,61,
3:15 PM-3:30 PM,22:53,61,
3:30 PM-3:45 PM,23:17,60,
3:45 PM-4:00 PM,24:14:00,58,
4:00 PM-4:15 PM,25:03:00,56,
4:15 PM-4:30 PM,26:06:00,54,
4:30 PM-4:45 PM,27:29:00,51,
4:45 PM-5:00 PM,27:48:00,51,
5:00 PM-5:15 PM,28:17:00,50,
5:15 PM-5:30 PM,29:11:00,48,
5:30 PM-5:45 PM,29:46:00,47,
5:45 PM-6:00 PM,29:06:00,48,
6:00 PM-6:15 PM,27:46:00,51,
6:15 PM-6:30 PM,26:05:00,54,
6:30 PM-6:45 PM,25:06:00,56,
6:45 PM-7:00 PM,23:58,59,
