Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,16:10,66,
5:15 AM-5:30 AM,16:05,66,
5:30 AM-5:45 AM,15:48,68,
5:45 AM-6:00 AM,15:46,68,
6:00 AM-6:15 AM,16:05,66,
6:15 AM-6:30 AM,16:20,65,
6:30 AM-6:45 AM,17:10,62,
6:45 AM-7:00 AM,19:53,54,
7:00 AM-7:15 AM,20:58,51,
7:15 AM-7:30 AM,22:27,48,
7:30 AM-7:45 AM,23:42,45,
7:45 AM-8:00 AM,24:40:00,43,
8:00 AM-8:15 AM,24:56:00,43,
8:15 AM-8:30 AM,24:28:00,44,
8:30 AM-8:45 AM,23:50,45,
8:45 AM-9:00 AM,22:11,48,
9:00 AM-9:15 AM,19:45,54,
9:15 AM-9:30 AM,18:04,59,
9:30 AM-9:45 AM,17:10,62,
9:45 AM-10:00 AM,16:54,63,
10:00 AM-10:15 AM,16:39,64,
10:15 AM-10:30 AM,16:43,64,
10:30 AM-10:45 AM,16:38,64,
10:45 AM-11:00 AM,16:39,64,
11:00 AM-11:15 AM,16:40,64,
11:15 AM-11:30 AM,16:35,64,
11:30 AM-11:45 AM,16:31,65,
11:45 AM-12:00 PM,16:33,65,
12:00 PM-12:15 PM,16:36,64,
12:15 PM-12:30 PM,16:34,64,
12:30 PM-12:45 PM,16:39,64,
12:45 PM-1:00 PM,17:04,63,
1:00 PM-1:15 PM,16:57,63,
1:15 PM-1:30 PM,17:12,62,
1:30 PM-1:45 PM,17:01,63,
1:45 PM-2:00 PM,16:59,63,
2:00 PM-2:15 PM,17:06,62,
2:15 PM-2:30 PM,17:16,62,
2:30 PM-2:45 PM,17:24,61,
2:45 PM-3:00 PM,17:34,61,
3:00 PM-3:15 PM,18:15,59,
3:15 PM-3:30 PM,20:36,52,
3:30 PM-3:45 PM,23:01,46,
3:45 PM-4:00 PM,25:36:00,42,
4:00 PM-4:15 PM,27:34:00,39,
4:15 PM-4:30 PM,32:48:00,33,
4:30 PM-4:45 PM,34:35:00,31,
4:45 PM-5:00 PM,34:55:00,31,
5:00 PM-5:15 PM,34:38:00,31,
5:15 PM-5:30 PM,36:14:00,29,
5:30 PM-5:45 PM,35:55:00,30,
5:45 PM-6:00 PM,32:35:00,33,
6:00 PM-6:15 PM,27:37:00,39,
6:15 PM-6:30 PM,23:49,45,
6:30 PM-6:45 PM,20:43,52,
6:45 PM-7:00 PM,18:36,57,
