Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,17:05,67,
5:15 AM-5:30 AM,16:59,68,
5:30 AM-5:45 AM,16:39,69,
5:45 AM-6:00 AM,16:38,69,
6:00 AM-6:15 AM,16:37,69,
6:15 AM-6:30 AM,16:55,68,
6:30 AM-6:45 AM,17:37,65,
6:45 AM-7:00 AM,18:35,62,
7:00 AM-7:15 AM,19:28,59,
7:15 AM-7:30 AM,20:10,57,
7:30 AM-7:45 AM,19:53,58,
7:45 AM-8:00 AM,19:07,60,
8:00 AM-8:15 AM,17:59,64,
8:15 AM-8:30 AM,17:28,66,
8:30 AM-8:45 AM,17:11,67,
8:45 AM-9:00 AM,17:10,67,
9:00 AM-9:15 AM,17:11,67,
9:15 AM-9:30 AM,17:38,65,
9:30 AM-9:45 AM,17:21,66,
9:45 AM-10:00 AM,17:17,67,
10:00 AM-10:15 AM,17:28,66,
10:15 AM-10:30 AM,17:29,66,
10:30 AM-10:45 AM,17:52,64,
10:45 AM-11:00 AM,17:27,66,
11:00 AM-11:15 AM,17:33,66,
11:15 AM-11:30 AM,17:29,66,
11:30 AM-11:45 AM,17:30,66,
11:45 AM-12:00 PM,17:27,66,
12:00 PM-12:15 PM,17:40,65,
12:15 PM-12:30 PM,17:40,65,
12:30 PM-12:45 PM,17:31,66,
12:45 PM-1:00 PM,17:26,66,
1:00 PM-1:15 PM,17:38,65,
1:15 PM-1:30 PM,17:38,65,
1:30 PM-1:45 PM,17:26,66,
1:45 PM-2:00 PM,17:57,64,
2:00 PM-2:15 PM,17:43,65,
2:15 PM-2:30 PM,17:33,66,
2:30 PM-2:45 PM,17:56,64,
2:45 PM-3:00 PM,17:37,65,
3:00 PM-3:15 PM,17:47,65,
3:15 PM-3:30 PM,17:19,67,
3:30 PM-3:45 PM,17:19,67,
3:45 PM-4:00 PM,17:28,66,
4:00 PM-4:15 PM,17:21,66,
4:15 PM-4:30 PM,17:13,67,
4:30 PM-4:45 PM,17:05,67,
4:45 PM-5:00 PM,17:17,67,
5:00 PM-5:15 PM,17:09,67,
5:15 PM-5:30 PM,17:12,67,
5:30 PM-5:45 PM,17:10,67,
5:45 PM-6:00 PM,17:14,67,
6:00 PM-6:15 PM,17:11,67,
6:15 PM-6:30 PM,17:06,67,
6:30 PM-6:45 PM,17:10,67,
6:45 PM-7:00 PM,17:16,67,
