Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,13:25,81,
5:15 AM-5:30 AM,13:41,80,
5:30 AM-5:45 AM,13:57,78,
5:45 AM-6:00 AM,14:41,74,
6:00 AM-6:15 AM,15:26,71,
6:15 AM-6:30 AM,15:36,70,
6:30 AM-6:45 AM,15:34,70,
6:45 AM-7:00 AM,16:02,68,
7:00 AM-7:15 AM,16:22,67,
7:15 AM-7:30 AM,15:55,69,
7:30 AM-7:45 AM,16:00,68,
7:45 AM-8:00 AM,15:44,69,
8:00 AM-8:15 AM,15:17,71,
8:15 AM-8:30 AM,15:30,70,
8:30 AM-8:45 AM,14:29,75,
8:45 AM-9:00 AM,15:14,72,
9:00 AM-9:15 AM,15:28,71,
9:15 AM-9:30 AM,15:23,71,
9:30 AM-9:45 AM,15:31,70,
9:45 AM-10:00 AM,15:46,69,
10:00 AM-10:15 AM,15:45,69,
10:15 AM-10:30 AM,15:12,72,
10:30 AM-10:45 AM,15:42,70,
10:45 AM-11:00 AM,15:27,71,
11:00 AM-11:15 AM,15:11,72,
11:15 AM-11:30 AM,14:41,74,
11:30 AM-11:45 AM,14:27,76,
11:45 AM-12:00 PM,14:25,76,
12:00 PM-12:15 PM,14:26,76,
12:15 PM-12:30 PM,14:30,75,
12:30 PM-12:45 PM,14:31,75,
12:45 PM-1:00 PM,14:25,76,
1:00 PM-1:15 PM,14:19,76,
1:15 PM-1:30 PM,14:16,77,
1:30 PM-1:45 PM,14:11,77,
1:45 PM-2:00 PM,14:20,76,
2:00 PM-2:15 PM,14:15,77,
2:15 PM-2:30 PM,14:21,76,
2:30 PM-2:45 PM,14:26,76,
2:45 PM-3:00 PM,14:24,76,
3:00 PM-3:15 PM,14:29,75,
3:15 PM-3:30 PM,14:37,75,
3:30 PM-3:45 PM,14:37,75,
3:45 PM-4:00 PM,14:48,74,
4:00 PM-4:15 PM,15:02,73,
4:15 PM-4:30 PM,15:24,71,
4:30 PM-4:45 PM,15:46,69,
4:45 PM-5:00 PM,16:09,68,
5:00 PM-5:15 PM,16:18,67,
5:15 PM-5:30 PM,17:40,62,
5:30 PM-5:45 PM,17:59,61,
5:45 PM-6:00 PM,17:48,61,
6:00 PM-6:15 PM,17:19,63,
6:15 PM-6:30 PM,16:05,68,
6:30 PM-6:45 PM,15:57,68,
6:45 PM-7:00 PM,15:50,69,
