Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,11:38,64,
5:15 AM-5:30 AM,11:37,65,
5:30 AM-5:45 AM,11:37,65,
5:45 AM-6:00 AM,11:43,64,
6:00 AM-6:15 AM,11:57,63,
6:15 AM-6:30 AM,12:13,61,
6:30 AM-6:45 AM,12:23,61,
6:45 AM-7:00 AM,12:34,60,
7:00 AM-7:15 AM,13:02,58,
7:15 AM-7:30 AM,14:49,51,
7:30 AM-7:45 AM,17:49,42,
7:45 AM-8:00 AM,19:53,38,
8:00 AM-8:15 AM,19:37,38,
8:15 AM-8:30 AM,18:56,40,
8:30 AM-8:45 AM,18:25,41,
8:45 AM-9:00 AM,17:14,44,
9:00 AM-9:15 AM,14:48,51,
9:15 AM-9:30 AM,13:22,56,
9:30 AM-9:45 AM,12:52,58,
9:45 AM-10:00 AM,12:37,59,
10:00 AM-10:15 AM,12:31,60,
10:15 AM-10:30 AM,12:39,59,
10:30 AM-10:45 AM,12:33,60,
10:45 AM-11:00 AM,12:29,60,
11:00 AM-11:15 AM,12:29,60,
11:15 AM-11:30 AM,12:52,58,
11:30 AM-11:45 AM,12:47,59,
11:45 AM-12:00 PM,12:43,59,
12:00 PM-12:15 PM,12:46,59,
12:15 PM-12:30 PM,12:48,59,
12:30 PM-12:45 PM,12:44,59,
12:45 PM-1:00 PM,12:47,59,
1:00 PM-1:15 PM,12:58,58,
1:15 PM-1:30 PM,12:57,58,
1:30 PM-1:45 PM,12:58,58,
1:45 PM-2:00 PM,13:29,56,
2:00 PM-2:15 PM,13:10,57,
2:15 PM-2:30 PM,13:23,56,
2:30 PM-2:45 PM,13:44,55,
2:45 PM-3:00 PM,14:11,53,
3:00 PM-3:15 PM,14:47,51,
3:15 PM-3:30 PM,16:25,46,
3:30 PM-3:45 PM,17:29,43,
3:45 PM-4:00 PM,18:28,41,
4:00 PM-4:15 PM,18:57,40,
4:15 PM-4:30 PM,21:31,35,
4:30 PM-4:45 PM,22:34,33,
4:45 PM-5:00 PM,22:32,33,
5:00 PM-5:15 PM,23:03,33,
5:15 PM-5:30 PM,25:42:00,29,
5:30 PM-5:45 PM,25:53:00,29,
5:45 PM-6:00 PM,24:09:00,31,
6:00 PM-6:15 PM,21:56,34,
6:15 PM-6:30 PM,20:54,36,
6:30 PM-6:45 PM,18:59,40,
6:45 PM-7:00 PM,16:52,44,
