Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,14:15,67,
5:15 AM-5:30 AM,14:26,66,
5:30 AM-5:45 AM,14:44,65,
5:45 AM-6:00 AM,15:11,63,
6:00 AM-6:15 AM,16:46,57,
6:15 AM-6:30 AM,20:32,46,
6:30 AM-6:45 AM,24:09:00,40,
6:45 AM-7:00 AM,26:29:00,36,
7:00 AM-7:15 AM,28:29:00,33,
7:15 AM-7:30 AM,32:47:00,29,
7:30 AM-7:45 AM,34:53:00,27,
7:45 AM-8:00 AM,33:59:00,28,
8:00 AM-8:15 AM,30:45:00,31,
8:15 AM-8:30 AM,29:36:00,32,
8:30 AM-8:45 AM,26:09:00,36,
8:45 AM-9:00 AM,24:33:00,39,
9:00 AM-9:15 AM,22:29,42,
9:15 AM-9:30 AM,19:57,48,
9:30 AM-9:45 AM,20:22,47,
9:45 AM-10:00 AM,19:28,49,
10:00 AM-10:15 AM,19:13,50,
10:15 AM-10:30 AM,20:01,48,
10:30 AM-10:45 AM,17:55,53,
10:45 AM-11:00 AM,20:25,47,
11:00 AM-11:15 AM,19:08,50,
11:15 AM-11:30 AM,22:13,43,
11:30 AM-11:45 AM,21:29,44,
11:45 AM-12:00 PM,22:59,42,
12:00 PM-12:15 PM,22:11,43,
12:15 PM-12:30 PM,20:21,47,
12:30 PM-12:45 PM,20:39,46,
12:45 PM-1:00 PM,19:23,49,
1:00 PM-1:15 PM,20:34,46,
1:15 PM-1:30 PM,19:56,48,
1:30 PM-1:45 PM,19:51,48,
1:45 PM-2:00 PM,20:18,47,
2:00 PM-2:15 PM,19:23,49,
2:15 PM-2:30 PM,18:23,52,
2:30 PM-2:45 PM,18:48,51,
2:45 PM-3:00 PM,18:49,51,
3:00 PM-3:15 PM,17:36,54,
3:15 PM-3:30 PM,17:32,54,
3:30 PM-3:45 PM,17:29,55,
3:45 PM-4:00 PM,17:15,55,
4:00 PM-4:15 PM,16:48,57,
4:15 PM-4:30 PM,17:03,56,
4:30 PM-4:45 PM,18:46,51,
4:45 PM-5:00 PM,18:12,52,
5:00 PM-5:15 PM,18:44,51,
5:15 PM-5:30 PM,19:52,48,
5:30 PM-5:45 PM,19:38,49,
5:45 PM-6:00 PM,19:41,48,
6:00 PM-6:15 PM,19:30,49,
6:15 PM-6:30 PM,19:00,50,
6:30 PM-6:45 PM,18:08,53,
6:45 PM-7:00 PM,17:01,56,
