Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,10:25,74,
5:15 AM-5:30 AM,10:14,76,
5:30 AM-5:45 AM,10:22,75,
5:45 AM-6:00 AM,10:26,74,
6:00 AM-6:15 AM,10:35,73,
6:15 AM-6:30 AM,10:46,72,
6:30 AM-6:45 AM,10:51,71,
6:45 AM-7:00 AM,10:54,71,
7:00 AM-7:15 AM,11:03,70,
7:15 AM-7:30 AM,11:19,68,
7:30 AM-7:45 AM,11:22,68,
7:45 AM-8:00 AM,11:43,66,
8:00 AM-8:15 AM,11:53,65,
8:15 AM-8:30 AM,11:57,65,
8:30 AM-8:45 AM,11:58,65,
8:45 AM-9:00 AM,11:28,68,
9:00 AM-9:15 AM,11:16,69,
9:15 AM-9:30 AM,11:20,68,
9:30 AM-9:45 AM,11:13,69,
9:45 AM-10:00 AM,11:17,69,
10:00 AM-10:15 AM,11:29,67,
10:15 AM-10:30 AM,11:37,67,
10:30 AM-10:45 AM,11:50,65,
10:45 AM-11:00 AM,11:16,69,
11:00 AM-11:15 AM,11:14,69,
11:15 AM-11:30 AM,11:12,69,
11:30 AM-11:45 AM,11:18,68,
11:45 AM-12:00 PM,11:12,69,
12:00 PM-12:15 PM,11:13,69,
12:15 PM-12:30 PM,11:11,69,
12:30 PM-12:45 PM,11:25,68,
12:45 PM-1:00 PM,11:28,68,
1:00 PM-1:15 PM,11:17,69,
1:15 PM-1:30 PM,11:10,69,
1:30 PM-1:45 PM,11:12,69,
1:45 PM-2:00 PM,11:17,69,
2:00 PM-2:15 PM,11:15,69,
2:15 PM-2:30 PM,11:19,68,
2:30 PM-2:45 PM,11:30,67,
2:45 PM-3:00 PM,11:25,68,
3:00 PM-3:15 PM,11:18,68,
3:15 PM-3:30 PM,11:24,68,
3:30 PM-3:45 PM,11:31,67,
3:45 PM-4:00 PM,11:49,66,
4:00 PM-4:15 PM,11:47,66,
4:15 PM-4:30 PM,12:08,64,
4:30 PM-4:45 PM,12:27,62,
4:45 PM-5:00 PM,13:05,59,
5:00 PM-5:15 PM,13:48,56,
5:15 PM-5:30 PM,15:17,51,
5:30 PM-5:45 PM,15:29,50,
5:45 PM-6:00 PM,14:40,53,
6:00 PM-6:15 PM,13:15,58,
6:15 PM-6:30 PM,12:40,61,
6:30 PM-6:45 PM,11:59,65,
6:45 PM-7:00 PM,11:22,68,
