Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,11:11,69,
5:15 AM-5:30 AM,10:48,72,
5:30 AM-5:45 AM,10:43,72,
5:45 AM-6:00 AM,10:44,72,
6:00 AM-6:15 AM,10:47,72,
6:15 AM-6:30 AM,11:10,69,
6:30 AM-6:45 AM,11:25,68,
6:45 AM-7:00 AM,12:05,64,
7:00 AM-7:15 AM,12:17,63,
7:15 AM-7:30 AM,12:44,61,
7:30 AM-7:45 AM,14:37,53,
7:45 AM-8:00 AM,15:32,50,
8:00 AM-8:15 AM,13:15,58,
8:15 AM-8:30 AM,12:08,64,
8:30 AM-8:45 AM,12:29,62,
8:45 AM-9:00 AM,12:19,63,
9:00 AM-9:15 AM,11:44,66,
9:15 AM-9:30 AM,11:43,66,
9:30 AM-9:45 AM,12:04,64,
9:45 AM-10:00 AM,12:06,64,
10:00 AM-10:15 AM,11:36,67,
10:15 AM-10:30 AM,11:46,66,
10:30 AM-10:45 AM,11:58,65,
10:45 AM-11:00 AM,11:43,66,
11:00 AM-11:15 AM,11:40,66,
11:15 AM-11:30 AM,11:42,66,
11:30 AM-11:45 AM,12:05,64,
11:45 AM-12:00 PM,12:03,64,
12:00 PM-12:15 PM,12:15,63,
12:15 PM-12:30 PM,11:52,65,
12:30 PM-12:45 PM,12:38,61,
12:45 PM-1:00 PM,12:32,62,
1:00 PM-1:15 PM,13:20,58,
1:15 PM-1:30 PM,12:42,61,
1:30 PM-1:45 PM,13:08,59,
1:45 PM-2:00 PM,11:57,65,
2:00 PM-2:15 PM,12:51,60,
2:15 PM-2:30 PM,12:39,61,
2:30 PM-2:45 PM,12:21,63,
2:45 PM-3:00 PM,12:47,61,
3:00 PM-3:15 PM,12:32,62,
3:15 PM-3:30 PM,12:41,61,
3:30 PM-3:45 PM,12:50,60,
3:45 PM-4:00 PM,12:46,61,
4:00 PM-4:15 PM,12:58,60,
4:15 PM-4:30 PM,13:02,59,
4:30 PM-4:45 PM,13:41,57,
4:45 PM-5:00 PM,14:18,54,
5:00 PM-5:15 PM,15:21,50,
5:15 PM-5:30 PM,16:10,48,
5:30 PM-5:45 PM,17:10,45,
5:45 PM-6:00 PM,18:40,41,
6:00 PM-6:15 PM,18:13,42,
6:15 PM-6:30 PM,18:03,43,
6:30 PM-6:45 PM,17:03,45,
6:45 PM-7:00 PM,14:38,53,
