Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,9:48,66,
5:15 AM-5:30 AM,10:28,62,
5:30 AM-5:45 AM,11:46,55,
5:45 AM-6:00 AM,13:15,49,
6:00 AM-6:15 AM,15:04,43,
6:15 AM-6:30 AM,17:15,38,
6:30 AM-6:45 AM,20:17,32,
6:45 AM-7:00 AM,21:21,30,
7:00 AM-7:15 AM,22:17,29,
7:15 AM-7:30 AM,24:44:00,26,
7:30 AM-7:45 AM,28:04:00,23,
7:45 AM-8:00 AM,29:27:00,22,
8:00 AM-8:15 AM,28:00:00,23,
8:15 AM-8:30 AM,26:39:00,24,
8:30 AM-8:45 AM,25:53:00,25,
8:45 AM-9:00 AM,24:20:00,27,
9:00 AM-9:15 AM,21:07,31,
9:15 AM-9:30 AM,18:37,35,
9:30 AM-9:45 AM,17:19,37,
9:45 AM-10:00 AM,15:34,42,
10:00 AM-10:15 AM,13:47,47,
10:15 AM-10:30 AM,12:53,50,
10:30 AM-10:45 AM,12:31,52,
10:45 AM-11:00 AM,12:09,53,
11:00 AM-11:15 AM,12:13,53,
11:15 AM-11:30 AM,12:37,51,
11:30 AM-11:45 AM,12:36,51,
11:45 AM-12:00 PM,13:17,49,
12:00 PM-12:15 PM,12:41,51,
12:15 PM-12:30 PM,12:51,50,
12:30 PM-12:45 PM,13:34,48,
12:45 PM-1:00 PM,13:31,48,
1:00 PM-1:15 PM,13:47,47,
1:15 PM-1:30 PM,13:59,46,
1:30 PM-1:45 PM,13:57,46,
1:45 PM-2:00 PM,13:57,46,
2:00 PM-2:15 PM,13:45,47,
2:15 PM-2:30 PM,13:12,49,
2:30 PM-2:45 PM,13:27,48,
2:45 PM-3:00 PM,13:30,48,
3:00 PM-3:15 PM,13:19,49,
3:15 PM-3:30 PM,14:13,46,
3:30 PM-3:45 PM,14:14,46,
3:45 PM-4:00 PM,14:39,44,
4:00 PM-4:15 PM,14:43,44,
4:15 PM-4:30 PM,14:53,44,
4:30 PM-4:45 PM,15:13,43,
4:45 PM-5:00 PM,15:01,43,
5:00 PM-5:15 PM,15:14,43,
5:15 PM-5:30 PM,16:27,39,
5:30 PM-5:45 PM,16:41,39,
5:45 PM-6:00 PM,16:16,40,
6:00 PM-6:15 PM,15:42,41,
6:15 PM-6:30 PM,15:30,42,
6:30 PM-6:45 PM,15:14,43,
6:45 PM-7:00 PM,14:29,45,
