Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,19:26,69,
5:15 AM-5:30 AM,19:35,69,
5:30 AM-5:45 AM,19:57,68,
5:45 AM-6:00 AM,20:27,66,
6:00 AM-6:15 AM,21:23,63,
6:15 AM-6:30 AM,23:20,58,
6:30 AM-6:45 AM,25:47:00,52,
6:45 AM-7:00 AM,27:43:00,49,
7:00 AM-7:15 AM,28:39:00,47,
7:15 AM-7:30 AM,28:56:00,47,
7:30 AM-7:45 AM,28:29:00,47,
7:45 AM-8:00 AM,26:55:00,50,
8:00 AM-8:15 AM,25:30:00,53,
8:15 AM-8:30 AM,24:10:00,56,
8:30 AM-8:45 AM,23:28,58,
8:45 AM-9:00 AM,22:47,59,
9:00 AM-9:15 AM,21:43,62,
9:15 AM-9:30 AM,21:07,64,
9:30 AM-9:45 AM,21:09,64,
9:45 AM-10:00 AM,21:02,64,
10:00 AM-10:15 AM,20:56,64,
10:15 AM-10:30 AM,21:00,64,
10:30 AM-10:45 AM,21:08,64,
10:45 AM-11:00 AM,21:29,63,
11:00 AM-11:15 AM,21:36,62,
11:15 AM-11:30 AM,21:31,63,
11:30 AM-11:45 AM,21:24,63,
11:45 AM-12:00 PM,21:44,62,
12:00 PM-12:15 PM,22:03,61,
12:15 PM-12:30 PM,22:17,61,
12:30 PM-12:45 PM,21:51,62,
12:45 PM-1:00 PM,21:38,62,
1:00 PM-1:15 PM,21:37,62,
1:15 PM-1:30 PM,21:45,62,
1:30 PM-1:45 PM,21:53,62,
1:45 PM-2:00 PM,22:17,61,
2:00 PM-2:15 PM,22:13,61,
2:15 PM-2:30 PM,22:27,60,
2:30 PM-2:45 PM,22:45,59,
2:45 PM-3:00 PM,22:58,59,
3:00 PM-3:15 PM,22:32,60,
3:15 PM-3:30 PM,23:10,58,
3:30 PM-3:45 PM,23:35,57,
3:45 PM-4:00 PM,24:20:00,55,
4:00 PM-4:15 PM,25:00:00,54,
4:15 PM-4:30 PM,26:59:00,50,
4:30 PM-4:45 PM,27:57:00,48,
4:45 PM-5:00 PM,28:56:00,47,
5:00 PM-5:15 PM,29:26:00,46,
5:15 PM-5:30 PM,33:04:00,41,
5:30 PM-5:45 PM,35:10:00,38,
5:45 PM-6:00 PM,35:04:00,38,
6:00 PM-6:15 PM,32:57:00,41,
6:15 PM-6:30 PM,30:59:00,44,
6:30 PM-6:45 PM,28:22:00,48,
6:45 PM-7:00 PM,25:38:00,53,
