Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,4:23,67,
5:15 AM-5:30 AM,4:26,66,
5:30 AM-5:45 AM,4:37,64,
5:45 AM-6:00 AM,4:46,62,
6:00 AM-6:15 AM,4:57,59,
6:15 AM-6:30 AM,5:13,56,
6:30 AM-6:45 AM,5:25,54,
6:45 AM-7:00 AM,5:24,54,
7:00 AM-7:15 AM,5:18,55,
7:15 AM-7:30 AM,5:14,56,
7:30 AM-7:45 AM,5:19,55,
7:45 AM-8:00 AM,5:32,53,
8:00 AM-8:15 AM,5:41,52,
8:15 AM-8:30 AM,6:04,48,
8:30 AM-8:45 AM,6:15,47,
8:45 AM-9:00 AM,5:58,49,
9:00 AM-9:15 AM,5:55,50,
9:15 AM-9:30 AM,6:04,48,
9:30 AM-9:45 AM,5:58,49,
9:45 AM-10:00 AM,5:51,50,
10:00 AM-10:15 AM,5:28,54,
10:15 AM-10:30 AM,5:36,52,
10:30 AM-10:45 AM,5:32,53,
10:45 AM-11:00 AM,5:22,55,
11:00 AM-11:15 AM,5:18,55,
11:15 AM-11:30 AM,5:28,54,
11:30 AM-11:45 AM,5:20,55,
11:45 AM-12:00 PM,5:26,54,
12:00 PM-12:15 PM,5:16,56,
12:15 PM-12:30 PM,5:16,56,
12:30 PM-12:45 PM,5:14,56,
12:45 PM-1:00 PM,5:07,57,
1:00 PM-1:15 PM,5:02,58,
1:15 PM-1:30 PM,5:07,57,
1:30 PM-1:45 PM,5:06,58,
1:45 PM-2:00 PM,5:05,58,
2:00 PM-2:15 PM,5:08,57,
2:15 PM-2:30 PM,5:07,57,
2:30 PM-2:45 PM,5:09,57,
2:45 PM-3:00 PM,5:12,57,
3:00 PM-3:15 PM,5:15,56,
3:15 PM-3:30 PM,5:24,54,
3:30 PM-3:45 PM,5:36,52,
3:45 PM-4:00 PM,6:05,48,
4:00 PM-4:15 PM,6:31,45,
4:15 PM-4:30 PM,7:16,40,
4:30 PM-4:45 PM,7:30,39,
4:45 PM-5:00 PM,8:01,37,
5:00 PM-5:15 PM,7:59,37,
5:15 PM-5:30 PM,8:25,35,
5:30 PM-5:45 PM,8:29,35,
5:45 PM-6:00 PM,7:43,38,
6:00 PM-6:15 PM,6:57,42,
6:15 PM-6:30 PM,6:36,45,
6:30 PM-6:45 PM,6:14,47,
6:45 PM-7:00 PM,5:52,50,
