Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,4:27,66,
5:15 AM-5:30 AM,4:31,65,
5:30 AM-5:45 AM,5:00,59,
5:45 AM-6:00 AM,5:16,56,
6:00 AM-6:15 AM,5:04,58,
6:15 AM-6:30 AM,5:33,53,
6:30 AM-6:45 AM,6:08,48,
6:45 AM-7:00 AM,7:17,40,
7:00 AM-7:15 AM,7:56,37,
7:15 AM-7:30 AM,8:08,36,
7:30 AM-7:45 AM,8:36,34,
7:45 AM-8:00 AM,8:49,33,
8:00 AM-8:15 AM,8:15,36,
8:15 AM-8:30 AM,7:08,41,
8:30 AM-8:45 AM,6:57,42,
8:45 AM-9:00 AM,6:39,44,
9:00 AM-9:15 AM,6:39,44,
9:15 AM-9:30 AM,6:22,46,
9:30 AM-9:45 AM,6:02,49,
9:45 AM-10:00 AM,5:34,53,
10:00 AM-10:15 AM,5:22,55,
10:15 AM-10:30 AM,5:18,55,
10:30 AM-10:45 AM,5:17,56,
10:45 AM-11:00 AM,5:17,56,
11:00 AM-11:15 AM,5:13,56,
11:15 AM-11:30 AM,5:20,55,
11:30 AM-11:45 AM,5:24,54,
11:45 AM-12:00 PM,5:03,58,
12:00 PM-12:15 PM,5:07,57,
12:15 PM-12:30 PM,5:07,57,
12:30 PM-12:45 PM,5:04,58,
12:45 PM-1:00 PM,4:59,59,
1:00 PM-1:15 PM,5:02,58,
1:15 PM-1:30 PM,5:06,58,
1:30 PM-1:45 PM,5:05,58,
1:45 PM-2:00 PM,5:07,57,
2:00 PM-2:15 PM,5:31,53,
2:15 PM-2:30 PM,5:12,57,
2:30 PM-2:45 PM,5:16,56,
2:45 PM-3:00 PM,5:25,54,
3:00 PM-3:15 PM,5:20,55,
3:15 PM-3:30 PM,5:20,55,
3:30 PM-3:45 PM,5:30,53,
3:45 PM-4:00 PM,5:58,49,
4:00 PM-4:15 PM,6:00,49,
4:15 PM-4:30 PM,6:26,46,
4:30 PM-4:45 PM,6:39,44,
4:45 PM-5:00 PM,7:32,39,
5:00 PM-5:15 PM,7:44,38,
5:15 PM-5:30 PM,9:35,31,
5:30 PM-5:45 PM,9:56,30,
5:45 PM-6:00 PM,9:21,31,
6:00 PM-6:15 PM,8:04,36,
6:15 PM-6:30 PM,7:01,42,
6:30 PM-6:45 PM,6:19,47,
6:45 PM-7:00 PM,5:44,51,
