Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,8:46,63,
5:15 AM-5:30 AM,8:49,63,
5:30 AM-5:45 AM,8:56,62,
5:45 AM-6:00 AM,9:22,59,
6:00 AM-6:15 AM,10:11,54,
6:15 AM-6:30 AM,11:41,47,
6:30 AM-6:45 AM,13:29,41,
6:45 AM-7:00 AM,15:26,36,
7:00 AM-7:15 AM,16:27,34,
7:15 AM-7:30 AM,18:57,29,
7:30 AM-7:45 AM,22:03,25,
7:45 AM-8:00 AM,23:50,23,
8:00 AM-8:15 AM,23:10,24,
8:15 AM-8:30 AM,20:58,26,
8:30 AM-8:45 AM,19:27,28,
8:45 AM-9:00 AM,18:32,30,
9:00 AM-9:15 AM,15:45,35,
9:15 AM-9:30 AM,12:41,44,
9:30 AM-9:45 AM,11:48,47,
9:45 AM-10:00 AM,11:43,47,
10:00 AM-10:15 AM,11:08,50,
10:15 AM-10:30 AM,10:40,52,
10:30 AM-10:45 AM,10:25,53,
10:45 AM-11:00 AM,10:22,53,
11:00 AM-11:15 AM,10:16,54,
11:15 AM-11:30 AM,10:08,54,
11:30 AM-11:45 AM,10:00,55,
11:45 AM-12:00 PM,10:21,53,
12:00 PM-12:15 PM,10:08,54,
12:15 PM-12:30 PM,10:11,54,
12:30 PM-12:45 PM,10:26,53,
12:45 PM-1:00 PM,10:20,53,
1:00 PM-1:15 PM,10:05,55,
1:15 PM-1:30 PM,9:53,56,
1:30 PM-1:45 PM,10:08,54,
1:45 PM-2:00 PM,10:12,54,
2:00 PM-2:15 PM,10:14,54,
2:15 PM-2:30 PM,10:16,54,
2:30 PM-2:45 PM,10:30,53,
2:45 PM-3:00 PM,11:04,50,
3:00 PM-3:15 PM,11:24,48,
3:15 PM-3:30 PM,12:11,45,
3:30 PM-3:45 PM,13:38,40,
3:45 PM-4:00 PM,15:32,36,
4:00 PM-4:15 PM,16:50,33,
4:15 PM-4:30 PM,17:32,31,
4:30 PM-4:45 PM,18:04,31,
4:45 PM-5:00 PM,18:51,29,
5:00 PM-5:15 PM,19:04,29,
5:15 PM-5:30 PM,20:03,28,
5:30 PM-5:45 PM,19:28,28,
5:45 PM-6:00 PM,18:54,29,
6:00 PM-6:15 PM,17:48,31,
6:15 PM-6:30 PM,16:37,33,
6:30 PM-6:45 PM,15:28,36,
6:45 PM-7:00 PM,13:47,40,
