Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,11:43,62,
5:15 AM-5:30 AM,11:35,63,
5:30 AM-5:45 AM,11:38,63,
5:45 AM-6:00 AM,11:48,62,
6:00 AM-6:15 AM,12:06,60,
6:15 AM-6:30 AM,13:15,55,
6:30 AM-6:45 AM,15:16,48,
6:45 AM-7:00 AM,17:38,42,
7:00 AM-7:15 AM,18:25,40,
7:15 AM-7:30 AM,21:10,35,
7:30 AM-7:45 AM,24:25:00,30,
7:45 AM-8:00 AM,27:08:00,27,
8:00 AM-8:15 AM,25:32:00,29,
8:15 AM-8:30 AM,23:37,31,
8:30 AM-8:45 AM,22:27,33,
8:45 AM-9:00 AM,21:27,34,
9:00 AM-9:15 AM,18:59,39,
9:15 AM-9:30 AM,17:02,43,
9:30 AM-9:45 AM,16:17,45,
9:45 AM-10:00 AM,15:55,46,
10:00 AM-10:15 AM,15:02,49,
10:15 AM-10:30 AM,14:27,51,
10:30 AM-10:45 AM,14:12,52,
10:45 AM-11:00 AM,14:13,51,
11:00 AM-11:15 AM,14:28,51,
11:15 AM-11:30 AM,15:06,48,
11:30 AM-11:45 AM,15:55,46,
11:45 AM-12:00 PM,15:39,47,
12:00 PM-12:15 PM,15:55,46,
12:15 PM-12:30 PM,16:40,44,
12:30 PM-12:45 PM,17:19,42,
12:45 PM-1:00 PM,17:31,42,
1:00 PM-1:15 PM,16:53,43,
1:15 PM-1:30 PM,17:50,41,
1:30 PM-1:45 PM,18:04,41,
1:45 PM-2:00 PM,18:27,40,
2:00 PM-2:15 PM,18:31,40,
2:15 PM-2:30 PM,19:42,37,
2:30 PM-2:45 PM,20:34,36,
2:45 PM-3:00 PM,21:57,33,
3:00 PM-3:15 PM,22:54,32,
3:15 PM-3:30 PM,24:12:00,30,
3:30 PM-3:45 PM,26:17:00,28,
3:45 PM-4:00 PM,29:21:00,25,
4:00 PM-4:15 PM,30:44:00,24,
4:15 PM-4:30 PM,34:23:00,21,
4:30 PM-4:45 PM,36:38:00,20,
4:45 PM-5:00 PM,37:07:00,20,
5:00 PM-5:15 PM,37:33:00,19,
5:15 PM-5:30 PM,39:07:00,19,
5:30 PM-5:45 PM,42:00:00,17,
5:45 PM-6:00 PM,38:59:00,19,
6:00 PM-6:15 PM,33:51:00,22,
6:15 PM-6:30 PM,30:55:00,24,
6:30 PM-6:45 PM,27:50:00,26,
6:45 PM-7:00 PM,23:27,31,
