Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,11:13,68,
5:15 AM-5:30 AM,11:30,67,
5:30 AM-5:45 AM,12:25,62,
5:45 AM-6:00 AM,13:27,57,
6:00 AM-6:15 AM,14:03,55,
6:15 AM-6:30 AM,14:17,54,
6:30 AM-6:45 AM,14:32,53,
6:45 AM-7:00 AM,14:29,53,
7:00 AM-7:15 AM,14:10,54,
7:15 AM-7:30 AM,13:59,55,
7:30 AM-7:45 AM,13:41,56,
7:45 AM-8:00 AM,13:25,57,
8:00 AM-8:15 AM,13:12,58,
8:15 AM-8:30 AM,12:47,60,
8:30 AM-8:45 AM,12:39,61,
8:45 AM-9:00 AM,12:38,61,
9:00 AM-9:15 AM,12:38,61,
9:15 AM-9:30 AM,12:38,61,
9:30 AM-9:45 AM,12:39,61,
9:45 AM-10:00 AM,12:41,61,
10:00 AM-10:15 AM,12:51,60,
10:15 AM-10:30 AM,12:55,59,
10:30 AM-10:45 AM,12:42,60,
10:45 AM-11:00 AM,12:44,60,
11:00 AM-11:15 AM,12:42,60,
11:15 AM-11:30 AM,12:34,61,
11:30 AM-11:45 AM,12:42,60,
11:45 AM-12:00 PM,12:33,61,
12:00 PM-12:15 PM,12:28,62,
12:15 PM-12:30 PM,12:33,61,
12:30 PM-12:45 PM,12:27,62,
12:45 PM-1:00 PM,12:27,62,
1:00 PM-1:15 PM,12:30,61,
1:15 PM-1:30 PM,12:32,61,
1:30 PM-1:45 PM,12:35,61,
1:45 PM-2:00 PM,12:23,62,
2:00 PM-2:15 PM,12:40,61,
2:15 PM-2:30 PM,12:31,61,
2:30 PM-2:45 PM,12:27,62,
2:45 PM-3:00 PM,12:33,61,
3:00 PM-3:15 PM,12:33,61,
3:15 PM-3:30 PM,12:28,62,
3:30 PM-3:45 PM,12:30,61,
3:45 PM-4:00 PM,12:28,62,
4:00 PM-4:15 PM,12:29,62,
4:15 PM-4:30 PM,12:29,62,
4:30 PM-4:45 PM,12:33,61,
4:45 PM-5:00 PM,12:29,62,
5:00 PM-5:15 PM,12:38,61,
5:15 PM-5:30 PM,13:14,58,
5:30 PM-5:45 PM,13:32,57,
5:45 PM-6:00 PM,13:29,57,
6:00 PM-6:15 PM,12:48,60,
6:15 PM-6:30 PM,12:21,62,
6:30 PM-6:45 PM,12:04,64,
6:45 PM-7:00 PM,11:58,64,
