Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,6:37,62,
5:15 AM-5:30 AM,6:31,63,
5:30 AM-5:45 AM,6:31,63,
5:45 AM-6:00 AM,6:30,63,
6:00 AM-6:15 AM,6:28,63,
6:15 AM-6:30 AM,6:40,61,
6:30 AM-6:45 AM,6:32,62,
6:45 AM-7:00 AM,6:34,62,
7:00 AM-7:15 AM,6:34,62,
7:15 AM-7:30 AM,6:38,62,
7:30 AM-7:45 AM,6:40,61,
7:45 AM-8:00 AM,6:40,61,
8:00 AM-8:15 AM,6:40,61,
8:15 AM-8:30 AM,6:40,61,
8:30 AM-8:45 AM,6:38,62,
8:45 AM-9:00 AM,6:37,62,
9:00 AM-9:15 AM,6:50,60,
9:15 AM-9:30 AM,6:42,61,
9:30 AM-9:45 AM,6:47,60,
9:45 AM-10:00 AM,6:50,60,
10:00 AM-10:15 AM,7:09,57,
10:15 AM-10:30 AM,6:46,60,
10:30 AM-10:45 AM,6:37,62,
10:45 AM-11:00 AM,7:06,57,
11:00 AM-11:15 AM,6:57,59,
11:15 AM-11:30 AM,6:56,59,
11:30 AM-11:45 AM,6:53,59,
11:45 AM-12:00 PM,7:05,58,
12:00 PM-12:15 PM,7:00,58,
12:15 PM-12:30 PM,6:49,60,
12:30 PM-12:45 PM,6:59,58,
12:45 PM-1:00 PM,7:23,55,
1:00 PM-1:15 PM,7:20,56,
1:15 PM-1:30 PM,6:50,60,
1:30 PM-1:45 PM,6:56,59,
1:45 PM-2:00 PM,6:55,59,
2:00 PM-2:15 PM,7:01,58,
2:15 PM-2:30 PM,7:10,57,
2:30 PM-2:45 PM,6:59,58,
2:45 PM-3:00 PM,6:49,60,
3:00 PM-3:15 PM,6:50,60,
3:15 PM-3:30 PM,6:43,61,
3:30 PM-3:45 PM,6:42,61,
3:45 PM-4:00 PM,7:04,58,
4:00 PM-4:15 PM,7:03,58,
4:15 PM-4:30 PM,7:11,57,
4:30 PM-4:45 PM,7:42,53,
4:45 PM-5:00 PM,7:50,52,
5:00 PM-5:15 PM,8:11,50,
5:15 PM-5:30 PM,8:58,46,
5:30 PM-5:45 PM,8:56,46,
5:45 PM-6:00 PM,8:44,47,
6:00 PM-6:15 PM,8:22,49,
6:15 PM-6:30 PM,7:42,53,
6:30 PM-6:45 PM,7:15,56,
6:45 PM-7:00 PM,6:57,59,
