Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,16:44,61,
5:15 AM-5:30 AM,16:37,61,
5:30 AM-5:45 AM,16:45,61,
5:45 AM-6:00 AM,17:49,57,
6:00 AM-6:15 AM,20:52,49,
6:15 AM-6:30 AM,25:18:00,40,
6:30 AM-6:45 AM,28:10:00,36,
6:45 AM-7:00 AM,30:58:00,33,
7:00 AM-7:15 AM,33:40:00,30,
7:15 AM-7:30 AM,37:41:00,27,
7:30 AM-7:45 AM,40:50:00,25,
7:45 AM-8:00 AM,40:33:00,25,
8:00 AM-8:15 AM,37:34:00,27,
8:15 AM-8:30 AM,34:33:00,29,
8:30 AM-8:45 AM,31:12:00,33,
8:45 AM-9:00 AM,27:06:00,37,
9:00 AM-9:15 AM,22:59,44,
9:15 AM-9:30 AM,20:43,49,
9:30 AM-9:45 AM,19:40,52,
9:45 AM-10:00 AM,19:03,53,
10:00 AM-10:15 AM,18:30,55,
10:15 AM-10:30 AM,18:23,55,
10:30 AM-10:45 AM,18:20,55,
10:45 AM-11:00 AM,18:33,55,
11:00 AM-11:15 AM,18:21,55,
11:15 AM-11:30 AM,18:50,54,
11:30 AM-11:45 AM,18:24,55,
11:45 AM-12:00 PM,18:54,54,
12:00 PM-12:15 PM,18:30,55,
12:15 PM-12:30 PM,18:06,56,
12:30 PM-12:45 PM,19:32,52,
12:45 PM-1:00 PM,19:27,52,
1:00 PM-1:15 PM,18:46,54,
1:15 PM-1:30 PM,18:53,54,
1:30 PM-1:45 PM,19:34,52,
1:45 PM-2:00 PM,19:41,52,
2:00 PM-2:15 PM,20:06,50,
2:15 PM-2:30 PM,20:08,50,
2:30 PM-2:45 PM,19:58,51,
2:45 PM-3:00 PM,20:37,49,
3:00 PM-3:15 PM,21:44,47,
3:15 PM-3:30 PM,21:34,47,
3:30 PM-3:45 PM,21:53,46,
3:45 PM-4:00 PM,22:42,45,
4:00 PM-4:15 PM,23:53,42,
4:15 PM-4:30 PM,25:02:00,41,
4:30 PM-4:45 PM,25:29:00,40,
4:45 PM-5:00 PM,25:03:00,40,
5:00 PM-5:15 PM,25:53:00,39,
5:15 PM-5:30 PM,25:41:00,39,
5:30 PM-5:45 PM,26:56:00,38,
5:45 PM-6:00 PM,27:19:00,37,
6:00 PM-6:15 PM,26:01:00,39,
6:15 PM-6:30 PM,24:58:00,41,
6:30 PM-6:45 PM,22:42,45,
6:45 PM-7:00 PM,21:35,47,
