Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,6:59,61,
5:15 AM-5:30 AM,6:47,63,
5:30 AM-5:45 AM,6:44,63,
5:45 AM-6:00 AM,6:35,65,
6:00 AM-6:15 AM,6:37,64,
6:15 AM-6:30 AM,6:34,65,
6:30 AM-6:45 AM,6:36,65,
6:45 AM-7:00 AM,6:40,64,
7:00 AM-7:15 AM,6:47,63,
7:15 AM-7:30 AM,7:28,57,
7:30 AM-7:45 AM,8:28,50,
7:45 AM-8:00 AM,8:52,48,
8:00 AM-8:15 AM,8:24,51,
8:15 AM-8:30 AM,8:21,51,
8:30 AM-8:45 AM,7:55,54,
8:45 AM-9:00 AM,7:38,56,
9:00 AM-9:15 AM,6:56,61,
9:15 AM-9:30 AM,6:56,61,
9:30 AM-9:45 AM,6:43,63,
9:45 AM-10:00 AM,6:43,63,
10:00 AM-10:15 AM,6:46,63,
10:15 AM-10:30 AM,6:46,63,
10:30 AM-10:45 AM,6:46,63,
10:45 AM-11:00 AM,6:50,62,
11:00 AM-11:15 AM,6:49,62,
11:15 AM-11:30 AM,6:54,62,
11:30 AM-11:45 AM,6:52,62,
11:45 AM-12:00 PM,7:05,60,
12:00 PM-12:15 PM,6:53,62,
12:15 PM-12:30 PM,7:00,61,
12:30 PM-12:45 PM,7:03,60,
12:45 PM-1:00 PM,7:09,60,
1:00 PM-1:15 PM,7:02,61,
1:15 PM-1:30 PM,6:57,61,
1:30 PM-1:45 PM,7:16,59,
1:45 PM-2:00 PM,7:16,59,
2:00 PM-2:15 PM,7:12,59,
2:15 PM-2:30 PM,7:10,59,
2:30 PM-2:45 PM,7:56,54,
2:45 PM-3:00 PM,7:38,56,
3:00 PM-3:15 PM,7:57,54,
3:15 PM-3:30 PM,8:54,48,
3:30 PM-3:45 PM,9:12,46,
3:45 PM-4:00 PM,9:29,45,
4:00 PM-4:15 PM,9:54,43,
4:15 PM-4:30 PM,10:49,39,
4:30 PM-4:45 PM,11:41,36,
4:45 PM-5:00 PM,12:25,34,
5:00 PM-5:15 PM,12:27,34,
5:15 PM-5:30 PM,13:58,31,
5:30 PM-5:45 PM,14:12,30,
5:45 PM-6:00 PM,13:30,32,
6:00 PM-6:15 PM,12:24,34,
6:15 PM-6:30 PM,11:46,36,
6:30 PM-6:45 PM,10:46,40,
6:45 PM-7:00 PM,9:28,45,
