Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,14:23,70,
5:15 AM-5:30 AM,14:17,70,
5:30 AM-5:45 AM,14:22,70,
5:45 AM-6:00 AM,14:17,70,
6:00 AM-6:15 AM,14:32,69,
6:15 AM-6:30 AM,14:26,70,
6:30 AM-6:45 AM,15:00,67,
6:45 AM-7:00 AM,14:56,67,
7:00 AM-7:15 AM,14:38,69,
7:15 AM-7:30 AM,14:35,69,
7:30 AM-7:45 AM,14:29,69,
7:45 AM-8:00 AM,15:07,66,
8:00 AM-8:15 AM,15:31,65,
8:15 AM-8:30 AM,15:28,65,
8:30 AM-8:45 AM,15:23,65,
8:45 AM-9:00 AM,15:14,66,
9:00 AM-9:15 AM,15:13,66,
9:15 AM-9:30 AM,15:01,67,
9:30 AM-9:45 AM,15:07,66,
9:45 AM-10:00 AM,15:14,66,
10:00 AM-10:15 AM,15:17,66,
10:15 AM-10:30 AM,14:41,68,
10:30 AM-10:45 AM,15:22,65,
10:45 AM-11:00 AM,15:30,65,
11:00 AM-11:15 AM,14:59,67,
11:15 AM-11:30 AM,15:32,65,
11:30 AM-11:45 AM,15:11,66,
11:45 AM-12:00 PM,15:38,64,
12:00 PM-12:15 PM,15:48,64,
12:15 PM-12:30 PM,15:23,65,
12:30 PM-12:45 PM,16:11,62,
12:45 PM-1:00 PM,15:50,63,
1:00 PM-1:15 PM,15:17,66,
1:15 PM-1:30 PM,15:27,65,
1:30 PM-1:45 PM,15:24,65,
1:45 PM-2:00 PM,15:24,65,
2:00 PM-2:15 PM,15:17,66,
2:15 PM-2:30 PM,15:54,63,
2:30 PM-2:45 PM,15:58,63,
2:45 PM-3:00 PM,16:13,62,
3:00 PM-3:15 PM,17:46,57,
3:15 PM-3:30 PM,17:41,57,
3:30 PM-3:45 PM,17:36,57,
3:45 PM-4:00 PM,18:04,56,
4:00 PM-4:15 PM,19:39,51,
4:15 PM-4:30 PM,21:03,48,
4:30 PM-4:45 PM,22:52,44,
4:45 PM-5:00 PM,25:29:00,39,
5:00 PM-5:15 PM,26:14:00,38,
5:15 PM-5:30 PM,27:56:00,36,
5:30 PM-5:45 PM,27:40:00,36,
5:45 PM-6:00 PM,26:22:00,38,
6:00 PM-6:15 PM,23:35,43,
6:15 PM-6:30 PM,21:48,46,
6:30 PM-6:45 PM,19:44,51,
6:45 PM-7:00 PM,18:36,54,
