Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,16:11,68,
5:15 AM-5:30 AM,16:22,67,
5:30 AM-5:45 AM,16:52,65,
5:45 AM-6:00 AM,17:50,62,
6:00 AM-6:15 AM,20:38,54,
6:15 AM-6:30 AM,25:57:00,43,
6:30 AM-6:45 AM,29:39:00,37,
6:45 AM-7:00 AM,31:06:00,35,
7:00 AM-7:15 AM,32:24:00,34,
7:15 AM-7:30 AM,33:29:00,33,
7:30 AM-7:45 AM,34:21:00,32,
7:45 AM-8:00 AM,34:12:00,32,
8:00 AM-8:15 AM,31:39:00,35,
8:15 AM-8:30 AM,30:17:00,36,
8:30 AM-8:45 AM,29:42:00,37,
8:45 AM-9:00 AM,28:22:00,39,
9:00 AM-9:15 AM,27:16:00,40,
9:15 AM-9:30 AM,24:32:00,45,
9:30 AM-9:45 AM,22:39,49,
9:45 AM-10:00 AM,21:19,52,
10:00 AM-10:15 AM,20:23,54,
10:15 AM-10:30 AM,19:21,57,
10:30 AM-10:45 AM,19:13,57,
10:45 AM-11:00 AM,18:55,58,
11:00 AM-11:15 AM,18:28,60,
11:15 AM-11:30 AM,18:19,60,
11:30 AM-11:45 AM,18:30,60,
11:45 AM-12:00 PM,18:30,60,
12:00 PM-12:15 PM,18:27,60,
12:15 PM-12:30 PM,18:36,59,
12:30 PM-12:45 PM,18:46,59,
12:45 PM-1:00 PM,18:43,59,
1:00 PM-1:15 PM,18:50,59,
1:15 PM-1:30 PM,18:21,60,
1:30 PM-1:45 PM,18:34,59,
1:45 PM-2:00 PM,19:10,58,
2:00 PM-2:15 PM,18:39,59,
2:15 PM-2:30 PM,18:50,59,
2:30 PM-2:45 PM,19:07,58,
2:45 PM-3:00 PM,19:04,58,
3:00 PM-3:15 PM,19:02,58,
3:15 PM-3:30 PM,19:07,58,
3:30 PM-3:45 PM,19:09,58,
3:45 PM-4:00 PM,19:56,55,
4:00 PM-4:15 PM,20:37,54,
4:15 PM-4:30 PM,20:57,53,
4:30 PM-4:45 PM,21:39,51,
4:45 PM-5:00 PM,21:37,51,
5:00 PM-5:15 PM,21:31,51,
5:15 PM-5:30 PM,21:31,51,
5:30 PM-5:45 PM,22:40,49,
5:45 PM-6:00 PM,22:42,49,
6:00 PM-6:15 PM,22:43,49,
6:15 PM-6:30 PM,21:24,52,
6:30 PM-6:45 PM,21:05,52,
6:45 PM-7:00 PM,20:34,54,
