Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,5:54,56,
5:15 AM-5:30 AM,5:54,56,
5:30 AM-5:45 AM,6:02,55,
5:45 AM-6:00 AM,5:53,56,
6:00 AM-6:15 AM,6:14,53,
6:15 AM-6:30 AM,6:52,48,
6:30 AM-6:45 AM,8:17,40,
6:45 AM-7:00 AM,9:06,36,
7:00 AM-7:15 AM,9:22,35,
7:15 AM-7:30 AM,10:15,32,
7:30 AM-7:45 AM,11:26,29,
7:45 AM-8:00 AM,11:55,28,
8:00 AM-8:15 AM,10:41,31,
8:15 AM-8:30 AM,9:58,33,
8:30 AM-8:45 AM,9:53,33,
8:45 AM-9:00 AM,10:05,33,
9:00 AM-9:15 AM,9:35,34,
9:15 AM-9:30 AM,9:03,36,
9:30 AM-9:45 AM,9:26,35,
9:45 AM-10:00 AM,9:22,35,
10:00 AM-10:15 AM,8:19,40,
10:15 AM-10:30 AM,7:50,42,
10:30 AM-10:45 AM,7:39,43,
10:45 AM-11:00 AM,8:04,41,
11:00 AM-11:15 AM,8:46,38,
11:15 AM-11:30 AM,8:36,38,
11:30 AM-11:45 AM,8:16,40,
11:45 AM-12:00 PM,8:25,39,
12:00 PM-12:15 PM,8:43,38,
12:15 PM-12:30 PM,9:00,37,
12:30 PM-12:45 PM,10:00,33,
12:45 PM-1:00 PM,10:42,31,
1:00 PM-1:15 PM,10:30,31,
1:15 PM-1:30 PM,10:28,32,
1:30 PM-1:45 PM,10:48,31,
1:45 PM-2:00 PM,11:09,30,
2:00 PM-2:15 PM,10:45,31,
2:15 PM-2:30 PM,11:33,29,
2:30 PM-2:45 PM,12:36,26,
2:45 PM-3:00 PM,14:01,24,
3:00 PM-3:15 PM,14:00,24,
3:15 PM-3:30 PM,14:53,22,
3:30 PM-3:45 PM,16:17,20,
3:45 PM-4:00 PM,18:02,18,
4:00 PM-4:15 PM,19:37,17,
4:15 PM-4:30 PM,21:47,15,
4:30 PM-4:45 PM,23:32,14,
4:45 PM-5:00 PM,24:08:00,14,
5:00 PM-5:15 PM,24:04:00,14,
5:15 PM-5:30 PM,25:28:00,13,
5:30 PM-5:45 PM,26:11:00,13,
5:45 PM-6:00 PM,25:32:00,13,
6:00 PM-6:15 PM,23:30,14,
6:15 PM-6:30 PM,21:52,15,
6:30 PM-6:45 PM,19:01,17,
6:45 PM-7:00 PM,15:56,21,
