Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,15:16,64,
5:15 AM-5:30 AM,15:11,65,
5:30 AM-5:45 AM,15:11,65,
5:45 AM-6:00 AM,15:11,65,
6:00 AM-6:15 AM,15:12,65,
6:15 AM-6:30 AM,15:18,64,
6:30 AM-6:45 AM,15:14,65,
6:45 AM-7:00 AM,15:23,64,
7:00 AM-7:15 AM,15:35,63,
7:15 AM-7:30 AM,16:01,61,
7:30 AM-7:45 AM,15:44,63,
7:45 AM-8:00 AM,15:41,63,
8:00 AM-8:15 AM,15:51,62,
8:15 AM-8:30 AM,16:11,61,
8:30 AM-8:45 AM,15:55,62,
8:45 AM-9:00 AM,16:08,61,
9:00 AM-9:15 AM,16:18,60,
9:15 AM-9:30 AM,16:01,61,
9:30 AM-9:45 AM,16:02,61,
9:45 AM-10:00 AM,15:56,62,
10:00 AM-10:15 AM,15:41,63,
10:15 AM-10:30 AM,15:42,63,
10:30 AM-10:45 AM,15:49,62,
10:45 AM-11:00 AM,15:59,62,
11:00 AM-11:15 AM,15:58,62,
11:15 AM-11:30 AM,15:55,62,
11:30 AM-11:45 AM,15:55,62,
11:45 AM-12:00 PM,15:41,63,
12:00 PM-12:15 PM,15:47,62,
12:15 PM-12:30 PM,15:54,62,
12:30 PM-12:45 PM,15:58,62,
12:45 PM-1:00 PM,16:03,61,
1:00 PM-1:15 PM,15:56,62,
1:15 PM-1:30 PM,16:06,61,
1:30 PM-1:45 PM,15:56,62,
1:45 PM-2:00 PM,16:14,61,
2:00 PM-2:15 PM,16:07,61,
2:15 PM-2:30 PM,16:17,60,
2:30 PM-2:45 PM,16:22,60,
2:45 PM-3:00 PM,16:15,61,
3:00 PM-3:15 PM,16:25,60,
3:15 PM-3:30 PM,16:43,59,
3:30 PM-3:45 PM,16:48,59,
3:45 PM-4:00 PM,16:52,58,
4:00 PM-4:15 PM,17:16,57,
4:15 PM-4:30 PM,18:00,55,
4:30 PM-4:45 PM,19:48,50,
4:45 PM-5:00 PM,21:55,45,
5:00 PM-5:15 PM,24:45:00,40,
5:15 PM-5:30 PM,27:37:00,36,
5:30 PM-5:45 PM,28:44:00,34,
5:45 PM-6:00 PM,27:31:00,36,
6:00 PM-6:15 PM,25:34:00,38,
6:15 PM-6:30 PM,24:33:00,40,
6:30 PM-6:45 PM,22:31,44,
6:45 PM-7:00 PM,20:08,49,
