Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,15:11,65,
5:15 AM-5:30 AM,15:04,65,
5:30 AM-5:45 AM,15:31,63,
5:45 AM-6:00 AM,15:30,63,
6:00 AM-6:15 AM,15:55,62,
6:15 AM-6:30 AM,17:51,55,
6:30 AM-6:45 AM,20:25,48,
6:45 AM-7:00 AM,23:56,41,
7:00 AM-7:15 AM,26:02:00,38,
7:15 AM-7:30 AM,29:57:00,33,
7:30 AM-7:45 AM,32:59:00,30,
7:45 AM-8:00 AM,33:19:00,30,
8:00 AM-8:15 AM,31:03:00,32,
8:15 AM-8:30 AM,29:47:00,33,
8:30 AM-8:45 AM,28:36:00,34,
8:45 AM-9:00 AM,26:11:00,38,
9:00 AM-9:15 AM,22:41,43,
9:15 AM-9:30 AM,19:57,49,
9:30 AM-9:45 AM,18:32,53,
9:45 AM-10:00 AM,18:23,54,
10:00 AM-10:15 AM,18:12,54,
10:15 AM-10:30 AM,17:54,55,
10:30 AM-10:45 AM,17:28,56,
10:45 AM-11:00 AM,16:50,58,
11:00 AM-11:15 AM,16:34,59,
11:15 AM-11:30 AM,16:26,60,
11:30 AM-11:45 AM,16:19,60,
11:45 AM-12:00 PM,16:14,61,
12:00 PM-12:15 PM,16:14,61,
12:15 PM-12:30 PM,16:20,60,
12:30 PM-12:45 PM,16:34,59,
12:45 PM-1:00 PM,16:38,59,
1:00 PM-1:15 PM,16:42,59,
1:15 PM-1:30 PM,16:32,60,
1:30 PM-1:45 PM,16:18,60,
1:45 PM-2:00 PM,16:25,60,
2:00 PM-2:15 PM,16:15,61,
2:15 PM-2:30 PM,16:08,61,
2:30 PM-2:45 PM,16:08,61,
2:45 PM-3:00 PM,16:01,61,
3:00 PM-3:15 PM,15:59,62,
3:15 PM-3:30 PM,16:14,61,
3:30 PM-3:45 PM,16:24,60,
3:45 PM-4:00 PM,16:26,60,
4:00 PM-4:15 PM,16:08,61,
4:15 PM-4:30 PM,16:16,60,
4:30 PM-4:45 PM,16:25,60,
4:45 PM-5:00 PM,16:38,59,
5:00 PM-5:15 PM,16:39,59,
5:15 PM-5:30 PM,17:45,55,
5:30 PM-5:45 PM,17:54,55,
5:45 PM-6:00 PM,17:44,55,
6:00 PM-6:15 PM,17:05,58,
6:15 PM-6:30 PM,17:05,58,
6:30 PM-6:45 PM,16:41,59,
6:45 PM-7:00 PM,16:18,60,
